n_1	n_2	n_3	t_01	c_02	c_01
1	1	1	1493921042664	9251736475003204106	10414912290564017381
1	1	1	1493921042780	6895642774981531100	10414912290564017381
1	1	1	1493921046562	6533556495187647291	1005556491720645518
1	1	1	1493921046605	1734898348674212040	1005556491720645518
1	1	1	1493921046645	1734898348674212040	1005556491720645518
1	1	1	1493921046668	5757841034815720035	1005556491720645518
1	1	1	1493921048530	18100011892246700331	986743009197131344
29.5	1	1	1493921052716	9544145203823252426	6443111766920617483
1	1	1	1493921059540	1201322781187110448	5124411671030761722
1	1	1	1493921059623	1734898348674212040	5124411671030761722
1	1	1	1493921059624	3658400513912854540	5124411671030761722
1	1	1	1493921059715	1772724425027852199	5124411671030761722
1	1	1	1493921059719	10503830746502467854	5124411671030761722
1	1	1	1493921066501	18100011892246700331	14539969289228441143
1	1	1	1493921066515	6693655700021304589	14539969289228441143
1	1	1	1493921066528	18100011892246700331	14539969289228441143
1	1	1	1493921066541	5849870178431849246	14539969289228441143
1	1	1	1493921066543	15192125046261217567	14539969289228441143
1	1	1	1493921066577	15460449360978142033	14539969289228441143
1	1	1	1493921066598	4061834014911554768	14539969289228441143
1	1	1	1493921066624	6638119784552464452	14539969289228441143
1	1	1	1493921066628	14150334376600954189	14539969289228441143
1	1	1	1493921066646	14150334376600954189	14539969289228441143
1	1	1	1493921066663	4477716336205849670	14539969289228441143
1	1	1	1493921066673	1344883075943866992	14539969289228441143
1	1	1	1493921066689	7929648770000123965	14539969289228441143
1	1	1	1493921066714	3054879351439382847	14539969289228441143
1	1	1	1493921066782	8135574342109019826	14539969289228441143
1	1	1	1493921066787	14969854389068346653	14539969289228441143
1	1	1	1493921074502	10519939351144491034	71921154048992571
1	1	1	1493921074543	14915222074835477356	71921154048992571
29.5	1	1	1493921076511	9544145203823252426	2006727495369450044
1	1	1	1493921076532	1734898348674212040	2006727495369450044
5.5	1	1	1493921076576	9815564106453972898	2006727495369450044
29.5	1	1	1493921076579	9544145203823252426	2006727495369450044
1	1	1	1493921076661	9740760642679584529	2006727495369450044
5.5	1	1	1493921076764	14475392532262432119	2006727495369450044
1	1	1	1493921077547	8663217795759262372	10629577822761845060
1	1	1	1493921077559	9815564106453972898	10629577822761845060
1	1	1	1493921077565	16051887458063369019	10629577822761845060
1	1	1	1493921077612	13579572935873721061	10629577822761845060
1	1	1	1493921077742	16051887458063369019	10629577822761845060
1	1	1	1493921077778	5757841034815720035	10629577822761845060
1	1	1	1493921083775	9815564106453972898	719654792092062134
1	1	1	1493921084511	9740760642679584529	8201169737165045657
2.5	1	1	1493921084520	13464690671775498620	8201169737165045657
2.5	1	1	1493921084578	14150334376600954189	8201169737165045657
1	1	1	1493921084652	10519939351144491034	8201169737165045657
1	1	1	1493921084688	10519939351144491034	8201169737165045657
1	1	1	1493921084742	3042012465427496137	8201169737165045657
5.5	1	1	1493921084759	8663217795759262372	8201169737165045657
4	1	1	1493921085505	10220647465156007646	16790855612712922796
20.5	1	1	1493921085507	8664718901548424607	16790855612712922796
29.5	1	1	1493921085507	9544145203823252426	8133865685517204810
5.5	1	1	1493921085521	2899741242812921018	16790855612712922796
2.5	1	1	1493921085545	15976370596181408159	16790855612712922796
5.5	1	1	1493921085552	10148026698345351054	16790855612712922796
5.5	1	1	1493921085557	9815564106453972898	16790855612712922796
4	1	1	1493921085564	15502105708689536654	16790855612712922796
29.5	1	1	1493921085573	9544145203823252426	16790855612712922796
1	1	1	1493921085589	2156519087511073505	16790855612712922796
7	1	1	1493921085595	17007674655026215659	16790855612712922796
5.5	1	1	1493921085607	1201322781187110448	16790855612712922796
11.5	1	1	1493921085654	14145455151806321586	16790855612712922796
10	1	1	1493921085660	10611007961394538213	16790855612712922796
14.5	1	1	1493921085676	9005049657734687693	16790855612712922796
13	1	1	1493921085679	14301880009343272377	16790855612712922796
1	1	1	1493921085683	14969854389068346653	16790855612712922796
11.5	1	1	1493921085684	4969518460496101121	16790855612712922796
7	1	1	1493921085705	5947683285125843305	16790855612712922796
8.5	1	1	1493921085716	9149459308486497662	16790855612712922796
1	1	1	1493921085728	1734898348674212040	16790855612712922796
2.5	1	1	1493921085735	13464690671775498620	16790855612712922796
7	1	1	1493921085737	11861246454895964733	16790855612712922796
1	1	1	1493921085741	14915222074835477356	8133865685517204810
1	1	1	1493921085744	5757841034815720035	16790855612712922796
1	1	1	1493921085757	9740760642679584529	16790855612712922796
5.5	1	1	1493921085794	9815564106453972898	8133865685517204810
16	1	1	1493921085795	13579572935873721061	16790855612712922796
10	1	1	1493921085796	17825877032759025809	16790855612712922796
1	1	1	1493921087508	7045502298943741293	137445908571360289
1	1	1	1493921087521	5849870178431849246	137445908571360289
1	1	1	1493921087526	14150334376600954189	137445908571360289
1	1	1	1493921087531	15192125046261217567	137445908571360289
1	1	1	1493921087538	8713501508307098951	137445908571360289
1	1	1	1493921087556	10026911179654661939	137445908571360289
1	1	1	1493921087560	8664718901548424607	137445908571360289
1	1	1	1493921087566	15192125046261217567	137445908571360289
1	1	1	1493921087574	1287641214494365304	137445908571360289
1	1	1	1493921087602	18195411621840950889	137445908571360289
1	1	1	1493921087618	14475392532262432119	137445908571360289
1	1	1	1493921087626	2654139698511244677	137445908571360289
1	1	1	1493921087630	2797798859190004553	137445908571360289
1	1	1	1493921087642	14150334376600954189	137445908571360289
1	1	1	1493921087645	4477716336205849670	137445908571360289
1	1	1	1493921087655	8713501508307098951	137445908571360289
1	1	1	1493921087656	5849870178431849246	137445908571360289
1	1	1	1493921087666	6533556495187647291	137445908571360289
1	1	1	1493921087667	2899741242812921018	137445908571360289
1	1	1	1493921087670	18195411621840950889	137445908571360289
1	1	1	1493921087670	880923349752857046	137445908571360289
1	1	1	1493921087682	14915222074835477356	137445908571360289
1	1	1	1493921087710	6533556495187647291	137445908571360289
1	1	1	1493921087719	13579572935873721061	137445908571360289
1	1	1	1493921087742	114462917113543972	137445908571360289
1	1	1	1493921087744	14915222074835477356	137445908571360289
1	1	1	1493921087744	2156519087511073505	137445908571360289
1	1	1	1493921087752	18306031108979394293	137445908571360289
1	1	1	1493921087765	4969518460496101121	137445908571360289
1	1	1	1493921087773	18306031108979394293	137445908571360289
1	1	1	1493921087788	9740760642679584529	137445908571360289
1	1	1	1493921095634	10026911179654661939	9174509059342997144
1	1	1	1493921095660	13830761597211956962	9174509059342997144
1	1	1	1493921107524	12620260354460886254	13281704261042722280
1	1	1	1493921107605	8663217795759262372	13281704261042722280
1	1	1	1493921107624	14915222074835477356	13281704261042722280
1	1	1	1493921107636	418721401177409295	13281704261042722280
1	1	1	1493921107674	16978522782667442622	13281704261042722280
1	1	1	1493921107702	8664718901548424607	13281704261042722280
1	1	1	1493921107758	10503830746502467854	13281704261042722280
1	1	1	1493921109658	6533556495187647291	7860298800371617871
1	1	1	1493921109674	12263473985926685920	7860298800371617871
1	1	1	1493921109684	8664718901548424607	7860298800371617871
1	1	1	1493921109697	9149459308486497662	7860298800371617871
1	1	1	1493921110658	14150334376600954189	719654792092062134
1	1	1	1493921110660	5757841034815720035	719654792092062134
1	1	1	1493921111517	16051887458063369019	8317387422963756870
1	1	1	1493921111519	12620260354460886254	8317387422963756870
1	1	1	1493921111571	4289847496248761943	8317387422963756870
1	1	1	1493921111599	4289847496248761943	8317387422963756870
1	1	1	1493921111605	14915222074835477356	8317387422963756870
1	1	1	1493921111609	5174530059005220399	5012491475448171038
1	1	1	1493921111645	1330489485408209501	5012491475448171038
1	1	1	1493921111684	10519939351144491034	8317387422963756870
1	1	1	1493921111697	10793114528339254987	8317387422963756870
1	1	1	1493921111701	18097213305980711748	8317387422963756870
1	1	1	1493921111710	1734898348674212040	8317387422963756870
1	1	1	1493921111710	3042012465427496137	8317387422963756870
1	1	1	1493921111714	18001983805765228053	8317387422963756870
1	1	1	1493921111724	9740760642679584529	5012491475448171038
1	1	1	1493921111737	3491801747601575134	5012491475448171038
1	1	1	1493921111744	1360666678660567313	5012491475448171038
1	1	1	1493921111758	14475392532262432119	8317387422963756870
1	1	1	1493921111772	5849870178431849246	5012491475448171038
1	1	1	1493921111790	14145455151806321586	8317387422963756870
1	1	1	1493921111794	8664718901548424607	8317387422963756870
1	1	1	1493921118644	7929648770000123965	5295451421808248099
1	1	1	1493921123508	4477716336205849670	8134827965246706193
1	1	1	1493921123569	9815564106453972898	8134827965246706193
1	1	1	1493921123584	9740760642679584529	8134827965246706193
1	1	1	1493921123701	14915222074835477356	8134827965246706193
1	1	1	1493921127770	1734898348674212040	2456906171955477136
1	1	1	1493921128523	14150334376600954189	7574487474970950008
1	1	1	1493921128526	3054879351439382847	7574487474970950008
1	1	1	1493921128538	2156519087511073505	7574487474970950008
1	1	1	1493921128550	13618331313862867083	7574487474970950008
1	1	1	1493921128575	1734898348674212040	7574487474970950008
1	1	1	1493921128576	6693655700021304589	7574487474970950008
1	1	1	1493921128614	9815564106453972898	7574487474970950008
1	1	1	1493921128622	3607925427713835917	7574487474970950008
1	1	1	1493921128642	18097213305980711748	7574487474970950008
1	1	1	1493921128656	13464690671775498620	7574487474970950008
1	1	1	1493921128656	18097213305980711748	7574487474970950008
1	1	1	1493921128670	5757841034815720035	7574487474970950008
1	1	1	1493921128690	10961331361033071903	7574487474970950008
1	1	1	1493921128703	14145455151806321586	7574487474970950008
1	1	1	1493921128746	8664718901548424607	7574487474970950008
1	1	1	1493921128770	14915222074835477356	7574487474970950008
1	1	1	1493921130515	579057270793138854	3528286603604391721
1	1	1	1493921130531	15192125046261217567	9174509059342997144
1	1	1	1493921130537	11291837646609460498	3528286603604391721
1	1	1	1493921130547	11673916524054690741	9174509059342997144
1	1	1	1493921130580	3120545506391374495	3528286603604391721
1	1	1	1493921130581	1287641214494365304	9174509059342997144
1	1	1	1493921130584	10519939351144491034	9174509059342997144
1	1	1	1493921130605	18195411621840950889	9174509059342997144
1	1	1	1493921130609	1772724425027852199	3528286603604391721
1	1	1	1493921130619	2777406936536698463	9174509059342997144
1	1	1	1493921130665	10519939351144491034	3528286603604391721
11.5	1	1	1493921130674	3658400513912854540	3528286603604391721
1	1	1	1493921130710	15138109996992329323	9174509059342997144
1	1	1	1493921130723	7551127386362509384	3528286603604391721
1	1	1	1493921130729	13464690671775498620	9174509059342997144
1	1	1	1493921130737	18001983805765228053	9174509059342997144
1	1	1	1493921130738	14915222074835477356	9174509059342997144
14.5	1	1	1493921130755	9005049657734687693	3528286603604391721
11.5	1	1	1493921130757	4969518460496101121	3528286603604391721
1	1	1	1493921130758	3120545506391374495	9174509059342997144
5.5	1	1	1493921130781	2899741242812921018	3528286603604391721
1	1	1	1493921130788	13514137305519670789	9174509059342997144
7	1	1	1493921135572	17007674655026215659	3431251423834641536
1	1	1	1493921135623	14915222074835477356	3431251423834641536
4	1	1	1493921135644	10961331361033071903	3431251423834641536
1	1	1	1493921135660	6533556495187647291	3431251423834641536
11.5	1	1	1493921135671	3658400513912854540	3431251423834641536
2.5	1	1	1493921135714	18195411621840950889	3431251423834641536
1	1	1	1493921143500	9544145203823252426	7537933956884753838
1	1	1	1493921143518	9815564106453972898	7537933956884753838
16	1	1	1493921143521	12620260354460886254	12916623092047158235
1	1	1	1493921143534	18097213305980711748	7398563870472438440
1	1	1	1493921143544	14915222074835477356	12916623092047158235
1	1	1	1493921143544	16022889771482384965	7537933956884753838
5.5	1	1	1493921143577	2899741242812921018	12916623092047158235
1	1	1	1493921143584	5757841034815720035	7537933956884753838
1	1	1	1493921143606	3054879351439382847	7537933956884753838
1	1	1	1493921143612	9544145203823252426	7537933956884753838
1	1	1	1493921143616	9740760642679584529	3295932237987380865
1	1	1	1493921143629	3658400513912854540	7398563870472438440
1	1	1	1493921143634	6533556495187647291	3295932237987380865
1	1	1	1493921143660	16049622100076919560	7537933956884753838
16	1	1	1493921143660	9544145203823252426	3295932237987380865
1	1	1	1493921143662	3042012465427496137	7537933956884753838
20.5	1	1	1493921143699	8664718901548424607	3295932237987380865
10	1	1	1493921143725	15401426531572395691	3295932237987380865
1	1	1	1493921143735	5849870178431849246	7398563870472438440
20.5	1	1	1493921143753	8664718901548424607	12916623092047158235
1	1	1	1493921143789	1734898348674212040	3295932237987380865
1	1	1	1493921143795	14145455151806321586	7537933956884753838
20.5	1	1	1493921144601	8664718901548424607	3112928416617705836
16	1	1	1493921144752	9544145203823252426	3112928416617705836
1	1	1	1493921145655	16051887458063369019	16476611703730142904
8.5	1	1	1493921149503	9815564106453972898	11061131926802753642
1	1	1	1493921149527	5757841034815720035	11061131926802753642
1	1	1	1493921149582	14145455151806321586	11061131926802753642
1	1	1	1493921149617	14915222074835477356	11061131926802753642
1	1	1	1493921149766	1734898348674212040	11061131926802753642
1	1	1	1493921149782	10519939351144491034	11061131926802753642
16	1	1	1493921149796	9544145203823252426	11061131926802753642
5.5	1	1	1493921152514	2899741242812921018	8201169737165045657
1	1	1	1493921152531	10519939351144491034	3439573664541399329
1	1	1	1493921152593	14915222074835477356	3439573664541399329
1	1	1	1493921152631	10961331361033071903	3439573664541399329
4	1	1	1493921152640	5962121464796762338	8201169737165045657
1	1	1	1493921152655	3042012465427496137	3439573664541399329
1	1	1	1493921153683	1734898348674212040	16540776203194946052
1	1	1	1493921154575	14915222074835477356	17423295066348176455
1	1	1	1493921154636	13464690671775498620	17423295066348176455
1	1	1	1493921154661	1734898348674212040	17423295066348176455
1	1	1	1493921154700	18097213305980711748	17423295066348176455
1	1	1	1493921154757	10519939351144491034	17423295066348176455
5.5	1	1	1493921156503	2899741242812921018	8714208124948988871
1	1	1	1493921156551	18097213305980711748	8714208124948988871
16	1	1	1493921156566	12620260354460886254	8714208124948988871
20.5	1	1	1493921156606	8664718901548424607	8714208124948988871
20.5	1	1	1493921156664	8664718901548424607	8714208124948988871
16	1	1	1493921156764	9544145203823252426	8133865685517204810
1	1	1	1493921163504	14145455151806321586	8201169737165045657
1	1	1	1493921163582	579057270793138854	16984375429524697113
1	1	1	1493921163653	13336366119309098504	16984375429524697113
1	1	1	1493921163664	3042012465427496137	16984375429524697113
1	1	1	1493921163689	7551127386362509384	16984375429524697113
1	1	1	1493921163737	12620260354460886254	16984375429524697113
1	1	1	1493921163777	8664718901548424607	16984375429524697113
1	1	1	1493921163781	1772724425027852199	16984375429524697113
8.5	1	1	1493921163782	14551410799092051783	8201169737165045657
1	1	1	1493921163794	14915222074835477356	16984375429524697113
1	1	1	1493921163796	4061834014911554768	16984375429524697113
1	1	1	1493921163798	4969518460496101121	16984375429524697113
1	1	1	1493921165530	9740760642679584529	1872759389643529052
1	1	1	1493921168502	14145455151806321586	17826229122948583896
1	1	1	1493921168511	2654139698511244677	17826229122948583896
1	1	1	1493921168511	2797798859190004553	17826229122948583896
1	1	1	1493921168511	8664718901548424607	17826229122948583896
1	1	1	1493921168512	15192125046261217567	17826229122948583896
1	1	1	1493921168525	2144863439434982001	17826229122948583896
1	1	1	1493921168555	18306031108979394293	17826229122948583896
1	1	1	1493921168557	1297525619347628614	17826229122948583896
1	1	1	1493921168560	10220647465156007646	17826229122948583896
1	1	1	1493921168580	3054879351439382847	17826229122948583896
1	1	1	1493921168588	11861246454895964733	17826229122948583896
1	1	1	1493921168588	9815564106453972898	17826229122948583896
1	1	1	1493921168589	842770044119362637	17826229122948583896
1	1	1	1493921168607	1522857077981898057	17826229122948583896
1	1	1	1493921168618	13579572935873721061	17826229122948583896
1	1	1	1493921168623	4969518460496101121	17826229122948583896
1	1	1	1493921168628	10503830746502467854	17826229122948583896
1	1	1	1493921168645	10148026698345351054	17826229122948583896
1	1	1	1493921168646	7423276310047235352	17826229122948583896
1	1	1	1493921168653	9285570871037349301	17826229122948583896
1	1	1	1493921168655	12620260354460886254	17826229122948583896
1	1	1	1493921168661	6693655700021304589	17826229122948583896
1	1	1	1493921168675	1344883075943866992	17826229122948583896
1	1	1	1493921168682	18097213305980711748	17826229122948583896
1	1	1	1493921168688	3658400513912854540	17826229122948583896
1	1	1	1493921168690	4061834014911554768	17826229122948583896
1	1	1	1493921168692	5849870178431849246	17826229122948583896
1	1	1	1493921168713	10961331361033071903	17826229122948583896
1	1	1	1493921168718	8713501508307098951	17826229122948583896
1	1	1	1493921168721	2797798859190004553	17826229122948583896
1	1	1	1493921168727	10148026698345351054	17826229122948583896
1	1	1	1493921168732	2899741242812921018	17826229122948583896
1	1	1	1493921168732	7045502298943741293	17826229122948583896
1	1	1	1493921168736	1344883075943866992	17826229122948583896
1	1	1	1493921168753	6522786257292714277	17826229122948583896
1	1	1	1493921168757	11620158223259846478	17826229122948583896
1	1	1	1493921168784	7929648770000123965	17826229122948583896
1	1	1	1493921168796	6533556495187647291	17826229122948583896
1	1	1	1493921168800	13618331313862867083	17826229122948583896
1	1	1	1493921169540	9815564106453972898	6162916140325566912
4	1	1	1493921169541	1522857077981898057	18074530585752196261
11.5	1	1	1493921169553	3658400513912854540	18074530585752196261
4	1	1	1493921169616	10220647465156007646	18074530585752196261
1	1	1	1493921169700	14915222074835477356	6162916140325566912
1	1	1	1493921170560	6895642774981531100	1575949797819097091
7	1	1	1493921170565	2666958978267013279	1575949797819097091
1	1	1	1493921170571	1734898348674212040	1575949797819097091
7	1	1	1493921170580	7929648770000123965	1575949797819097091
1	1	1	1493921170581	14145455151806321586	1575949797819097091
10	1	1	1493921170656	18306031108979394293	1575949797819097091
20.5	1	1	1493921170667	8664718901548424607	1575949797819097091
8.5	1	1	1493921170697	9815564106453972898	1575949797819097091
5.5	1	1	1493921170761	10148026698345351054	1575949797819097091
1	1	1	1493921170774	14915222074835477356	1575949797819097091
1	1	1	1493921170775	3886609709552418490	1575949797819097091
1	1	1	1493921171544	7929648770000123965	11079802947699552278
1	1	1	1493921171592	9785446719055244363	11079802947699552278
1	1	1	1493921171733	8664718901548424607	11079802947699552278
1	1	1	1493921171745	10793114528339254987	11079802947699552278
5.5	1	1	1493921172505	14475392532262432119	6820978196833349578
10	1	1	1493921172506	18306031108979394293	6820978196833349578
2.5	1	1	1493921172515	10503830746502467854	6820978196833349578
20.5	1	1	1493921172519	8664718901548424607	6820978196833349578
5.5	1	1	1493921172521	2797798859190004553	6820978196833349578
4	1	1	1493921172541	17007674655026215659	6820978196833349578
1	1	1	1493921172551	18195411621840950889	6820978196833349578
4	1	1	1493921172558	10128111428268873566	6820978196833349578
8.5	1	1	1493921172561	3607925427713835917	6820978196833349578
5.5	1	1	1493921172593	13843812097440020394	6820978196833349578
1	1	1	1493921172615	5757841034815720035	6820978196833349578
1	1	1	1493921172631	1344883075943866992	6820978196833349578
5.5	1	1	1493921172631	5849870178431849246	6820978196833349578
1	1	1	1493921172640	18100011892246700331	6820978196833349578
5.5	1	1	1493921172643	2899741242812921018	6820978196833349578
1	1	1	1493921172648	18195411621840950889	6820978196833349578
1	1	1	1493921172656	10519939351144491034	6820978196833349578
5.5	1	1	1493921172656	1287641214494365304	6820978196833349578
7	1	1	1493921172724	5947683285125843305	6820978196833349578
10	1	1	1493921172727	15401426531572395691	6820978196833349578
1	1	1	1493921172733	6895642774981531100	6820978196833349578
22	1	1	1493921172737	9785446719055244363	6820978196833349578
10	1	1	1493921172754	10611007961394538213	6820978196833349578
7	1	1	1493921172761	10793114528339254987	6820978196833349578
10	1	1	1493921172778	7423276310047235352	6820978196833349578
16	1	1	1493921172787	12620260354460886254	6820978196833349578
1	1	1	1493921172795	18097213305980711748	6820978196833349578
5.5	1	1	1493921172799	17754619872906557604	6820978196833349578
22	1	1	1493921174566	9785446719055244363	8201169737165045657
5.5	1	1	1493921174677	2899741242812921018	8201169737165045657
16	1	1	1493921179514	9544145203823252426	1830317262031830044
8.5	1	1	1493921179537	9815564106453972898	1830317262031830044
1	1	1	1493921179638	14145455151806321586	1830317262031830044
7	1	1	1493921179696	10793114528339254987	1830317262031830044
1	1	1	1493921179712	10519939351144491034	1830317262031830044
1	1	1	1493921179714	14915222074835477356	1830317262031830044
20.5	1	1	1493921179756	8664718901548424607	1830317262031830044
1	1	1	1493921183501	10298227702474230568	7398563870472438440
1	1	1	1493921183504	13514137305519670789	7398563870472438440
1	1	1	1493921183508	4061834014911554768	7398563870472438440
1	1	1	1493921183520	114462917113543972	7398563870472438440
1	1	1	1493921183524	10519939351144491034	7398563870472438440
1	1	1	1493921183524	16721839430172704946	7398563870472438440
1	1	1	1493921183525	3054879351439382847	7398563870472438440
1	1	1	1493921183528	7929648770000123965	7398563870472438440
1	1	1	1493921183542	10128111428268873566	7398563870472438440
1	1	1	1493921183545	4969518460496101121	7398563870472438440
1	1	1	1493921183548	10148026698345351054	7398563870472438440
