c_01	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14	n_15	n_16	n_17	n_18	n_19	n_20	n_21	n_22	c_7	n_23	n_24	n_25	n_26	n_27
8963123378971817479	14771401151246747869	15694656548661744051	171.482	53.0892	3164121748884072765	16566342060551763402	5656685945142785391	40	6843963171864976598	1460144466368	1	1	1079.5	23.5	232	530910	1	1	53.5	1	1	1	1	1321	7042	8362	167.5	1	1	6843963171864976598	1	1	1	1	151
8253412567262493765	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
18364400528371482739	14771401151246747869	11688242896569479644	172.813	58.0472	1903660851557760738	9988402817863517735	7415541759533218098	34	34453685010072459	1466568209289	1	1	343	512.5	1	3916	1	1	1	1	1	65.5	1	1	1	65.5	11.5	1	1	6843963171864976598	1	1	1	1	94
13697335437903676924	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4555867000785371443	14771401151246747869	8789859650172775179	166.82	32.7438	9567574830962345760	NaN	9203211364990347262	1	6843963171864976598	1479093025254	1	1	28	22	8.5	4951	1	2.5	80.5	1	1	165522	39388	63430	136902	405238	2777.5	1	1	6843963171864976598	1	1	1	319	2.5
10452269545379205870	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
13735256018905758512	34453685010072459	15581449471719456830	181.897	48.2711	12855404259964902474	NaN	9203211364990347262	1	6843963171864976598	1459669177315	1	1	10	1	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	4
15382656920557884790	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3799425813719161351	14771401151246747869	13882554632700455398	170.928	51.5789	13358813864521194877	NaN	8494060603423735195	1	6843963171864976598	1485585042461	1	1	11.5	44.5	1	1	1	184	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
17986125213339217931	14771401151246747869	15694656548661744051	180.207	44.8137	18166872210092895898	NaN	17976383577365148815	1	6843963171864976598	1478536183229	1	1	2.5	61	1	8.5	1	1	1	1	1	590.5	100	1	14.5	703	25	1	1	6843963171864976598	1	1	1	1	1
10008504515566832606	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10869049670382953318	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16614896512555179897	14771401151246747869	1767487876709659869	175.531	36.2637	5810170163192060640	NaN	3027499780234405913	1	6843963171864976598	1486644903316	1	1	1	10	1	8.5	1	1	1	1	1	1	1	1	496	496	5.5	1	1	6843963171864976598	1	1	1	1	1
2555600673233996862	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16187306277147113403	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7209741141895845733	14771401151246747869	10042331214081538537	164.048	52.5264	2671654609611462669	7572812105742249682	8146055994240252581	38.5	6843963171864976598	1458038558360	1	31	161.5	143.5	1	8098	1	209.5	743.5	1	1	100	4330	5509	55702	65638	826	1	1	6843963171864976598	1	1	1	298	1
2083445105307536116	14771401151246747869	11593346814514815812	185.465	62.678	4653498299011253430	1005512822884493509	9203211364990347262	34	6843963171864976598	1482625019249	1	4	5.5	7	1	1	1	10	8.5	1	1	13900	85	305.5	12316	26603.5	82	1	1	6843963171864976598	1	1	1	1	1
13507891031678788823	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9506479393669749522	14771401151246747869	6151041801699491422	168.058	50.166	15637995590187718682	3542947390457618420	18039304162397308428	44.5	17280693952210522585	1458493115253	1	64	175	556	104.5	39266.5	1	8.5	271	1	1	25894	809.5	21371.5	27433	75505	1612	1	1	6843963171864976598	1	1	1	1159	20.5
13366735210112990526	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11554967000152881354	14771401151246747869	7638001807695707609	180.07	39.5894	6581091557036131177	15547720619566231198	5656685945142785391	46	14771401151246747869	1455632103294	1	1	101.5	1660	1	2.5	1	118	38.5	1	1	29261.5	4268.5	2540.5	20486.5	56554	9166	1	1	6843963171864976598	1	1	1	1	1
15137777698288195699	34453685010072459	10211136965740185639	183.161	47.8584	7728751497385427149	6486231215547827399	5656685945142785391	38.5	34453685010072459	1467168222101	1	203.5	22676.5	17.5	934	377994	20.5	184	245.5	1	1	10864	5557	10505.5	12001	38924.5	193	1	1	6843963171864976598	1	1	1	1252	151
1226310495011502377	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
1488185029287837849	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14248694217018879401	14771401151246747869	3163209124045604152	171.494	53.0364	3164121748884072765	NaN	5656685945142785391	1	6843963171864976598	1465917562240	1	1	1	5.5	1	14.5	1	1	11.5	1	1	83.5	407.5	451	4669	5608	118	1	1	6843963171864976598	1	1	1	1	1
16267098336411068602	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14534128082786635645	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9640424157718983579	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3724682598469936742	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8475726424995404720	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
1700137496195551412	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11182219217736870649	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4942820953238444704	34453685010072459	10211136965740185639	179.247	56.0407	18124316522908287676	13871198517152104089	5656685945142785391	17.5	6843963171864976598	1461122106215	1	1	29869	10	65.5	117570	1	1	1	1	1	497.5	3635.5	2884	9058	16072	262	1	1	6843963171864976598	1	1	1	1	151
1559174385330384158	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5819260696673811083	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3841140456003334950	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4503510497778466209	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
12184340948309068502	34453685010072459	1929568086395144184	163.683	35.1264	10907634606554490072	13871198517152104089	8494060603423735195	31	14771401151246747869	1472355523138	1	46	211	112	431.5	190	1	1	1	1	1	340	2149	1352.5	7606	11444.5	241	1	1	6843963171864976598	1	1	1	1	22
4228478212505162043	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
13056807688587309466	14771401151246747869	3659863142344469883	175.955	61.4816	6220772307398391706	NaN	5656685945142785391	1	6843963171864976598	1467198632175	1	1	8.5	2.5	1	8.5	2.5	1	1	1	1	1	470.5	1	13	482.5	29.5	1	1	6843963171864976598	1	1	1	1	1
9236333520779841369	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3841125197880056697	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8975558554133861396	14771401151246747869	16429264127763712662	175.188	60.779	6220772307398391706	NaN	5083169309446148209	1	6843963171864976598	1472956559103	1	172	1	38.5	1	65.5	1	1	1	1	1	1	326.5	1721.5	341.5	2387.5	112	1	1	6843963171864976598	1	1	1	1	1
13857285435651638956	14771401151246747869	1172590893839417669	182.499	47.0363	1499740313067042920	NaN	7941305549320701127	1	6843963171864976598	1478962563368	1	133	10	104.5	1	3127	1	1	122.5	1	1	1	5318.5	23792.5	186942	216050	3961	1	1	6843963171864976598	1	1	1	404.5	1
8060679190428382828	14771401151246747869	780966791823325461	170.699	35.5868	6306913683848874426	8676495449553652028	3027499780234405913	1	14771401151246747869	1459905144195	1	235	280	211	143.5	9425.5	1	10	7	1	1	1682.5	1861	7600	89851	100992	1049.5	1	1	6843963171864976598	1	1	1	5.5	13
7850894672632415521	14771401151246747869	3777725110131978323	159.415	46.7736	9784663090175517227	NaN	7941305549320701127	1	14771401151246747869	1459173668167	1	22	23.5	605.5	1	16	1	1	1	1	1	1	44.5	1607.5	664	2314	265	1	1	6843963171864976598	1	1	1	1	1
2788281563233234214	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9619022085221715423	14771401151246747869	6084453210604472226	170.743	35.8223	6306913683848874426	NaN	6354429952891562218	1	6843963171864976598	1463059187488	1	5.5	5.5	16	1	2927.5	1	1	1	1	1	1	1	178	1	178	22	1	1	6843963171864976598	1	1	1	1	1
18129574788406389099	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
877284583231702214	14771401151246747869	10081650206047489431	172.428	47.0569	18312104889363715121	NaN	5656685945142785391	1	6843963171864976598	1467936990449	1	1	13	194.5	1	2621.5	1	1	11.5	1	1	1	1	377.5	2779	3155.5	44.5	1	1	6843963171864976598	1	1	1	1	1
7736672942267760505	14771401151246747869	8286680241381910257	179.822	55.914	18124316522908287676	2743811494413578345	5656685945142785391	31	34453685010072459	1468404054167	1	71.5	806.5	11.5	166	105226	2.5	8.5	989.5	1	1	3457	7474	5083	88516	104527	1253.5	1	1	6843963171864976598	1	1	11.5	2687.5	151
5397424152813197439	14771401151246747869	14120016170634869517	176.77	59.6617	17206023593600067121	NaN	8146055994240252581	1	6843963171864976598	1462535004139	1	119.5	11.5	50.5	1	212.5	2.5	1	214	1	1	11.5	13771	11572	45761.5	71113	716.5	1	1	6843963171864976598	1	1	1	5.5	1
14371740792970979444	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
1440986354529542285	34453685010072459	4327320840796792320	167.508	53.5466	1023208684086459107	12793086193907602718	5656685945142785391	40	14771401151246747869	1468403710472	1	1	569.5	260.5	202	3125.5	1	13	200.5	1	1	10727.5	4237	10990	22525	48476.5	278.5	1	1	6843963171864976598	1	1	1	17.5	97
5976964572371606396	14771401151246747869	1359662190990386857	190.948	69.6594	15216595036825075434	NaN	8146055994240252581	1	6843963171864976598	1460203977374	1	263.5	47.5	40	1	4009	2.5	1019.5	242.5	1	1	2110	12592	48094	107116	169909	3974.5	1	1	6843963171864976598	1	1	1	22	1
190010930528680811	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
17278170965398460616	14771401151246747869	11319403370857952873	176.502	50.0795	17276576774814478585	12626219658751117533	9203211364990347262	1	6843963171864976598	1459508477177	1	4	31	1	5.5	1708	1	1	1	1	1	1	1	1	116.5	116.5	14.5	1	1	6843963171864976598	1	1	1	1	2.5
12965079922453419872	14771401151246747869	7265916326799606203	182.473	47.2653	1499740313067042920	6486231215547827399	5656685945142785391	52	6843963171864976598	1489668604375	1	1	10	13	1	1	52	2471.5	4	1	1	1	74.5	5.5	110.5	188.5	26.5	1	1	6843963171864976598	1	1	1	1	1
4477708336168676550	14771401151246747869	7265916326799606203	183.145	47.5908	7728751497385427149	NaN	5656685945142785391	1	6843963171864976598	1487508531385	1	1	1	10	1	1	2.5	925	1	1	1	1	146.5	32.5	229	406	80.5	1	1	6843963171864976598	1	1	1	1	1
4075047630581316646	14771401151246747869	11069455381598186931	124.534	68.2517	7431924554772899137	7678693566015155663	5656685945142785391	34	14771401151246747869	1462884177425	1	1	848.5	149.5	628	15512.5	2.5	37	340	1	1	27176.5	5417.5	31949.5	42208	106748	1940.5	1	1	6843963171864976598	1	1	1	110.5	151
6949457248030890937	34453685010072459	4660484954393955857	157.057	46.9573	13301720600350218719	NaN	3027499780234405913	1	14771401151246747869	1462806462346	1	37	85	58	38.5	7379.5	1	2.5	593.5	1	1	26105.5	27478	65303.5	148938	267822	2417.5	1	1	6843963171864976598	1	1	1	631	2.5
10543027902745586362	14771401151246747869	10211136965740185639	183.233	47.7658	7728751497385427149	16874085304234683492	5656685945142785391	43	6843963171864976598	1436956720441	1	22	82	19	1	919	11.5	163	76	1	1	35992	338.5	10247.5	17507.5	64082.5	643	1	1	6843963171864976598	1	1	1	10	1
7326378308332673152	14771401151246747869	10211136965740185639	175.49	61.0731	6220772307398391706	4419326220132520574	5656685945142785391	1	34453685010072459	1445607817224	1	1	110.5	92.5	1	100423	1	212.5	1379.5	1	1	2206	1528	16012	141271	161014	463	1	1	6843963171864976598	1	1	2.5	1501	1
7812268504293229519	14771401151246747869	3659863142344469883	172.991	57.8413	1903660851557760738	6486231215547827399	5656685945142785391	47.5	6843963171864976598	1432534850288	1	2.5	31	70	1	151	1	532	1	1	1	71.5	1	1	1	71.5	20.5	1	1	6843963171864976598	1	1	1	1	1
13555441492910701053	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14805081538482361033	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3158844094772820485	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
1060483591699419128	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
17137904261557608888	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9677835551464339709	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
15753010126649364634	14771401151246747869	15694656548661744051	1	1	6306913683848874426	NaN	5656685945142785391	41.5	6843963171864976598	1437362306445	1	1	2.5	2.5	91	1	7	415	1	1	1	1	1	1	98.5	98.5	7	1	1	6843963171864976598	1	1	1	1	1
12291267122941484529	14771401151246747869	11740872891748772811	187.186	67.9545	4408661226289912183	5934422841821369788	16244310678531341320	41.5	6843963171864976598	1466789401374	1	17.5	14.5	67	1	86.5	1	1	1	1	1	104.5	73	671.5	2126.5	2972.5	161.5	1	1	6843963171864976598	1	1	1	1	1
5049856014683348767	14771401151246747869	15694656548661744051	171.499	35.2265	7555030694101606672	NaN	5656685945142785391	1	6843963171864976598	1489985868418	1	1	1	1	1	8.5	1	1	1	1	1	1	1	13	1	13	4	1	1	6843963171864976598	1	1	1	1	1
3053343548388060550	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7019030449150300849	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5258988271293368211	14771401151246747869	3659863142344469883	165.572	42.173	16427279569164715276	2113087454122014078	8725814097116089840	1	6843963171864976598	1428145474449	1	1	178	68.5	173.5	30580	1	1	1	1	1	20978.5	106	4252	3617.5	28951	464.5	1	1	6843963171864976598	1	1	1	1	25
929539512081470328	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16254566741941984268	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7155401817674407781	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16356878831659213725	14771401151246747869	4327320840796792320	170.502	35.3399	6306913683848874426	16279276689593385942	9203211364990347262	32.5	6843963171864976598	1435248967244	1	1	19	98.5	1	109	1	1	1	1	1	1	1	40	521.5	560.5	5.5	1	1	6843963171864976598	1	1	1	1	1
8423778841046363327	14771401151246747869	13775701858611514893	178.183	37.6991	17188042325796387627	14808939702743103928	16660087514147718816	68.5	14771401151246747869	1459599800356	1	1	5.5	17.5	1	482.5	1	1	1	1	1	1582	128.5	2428	8620	12755.5	341.5	1	1	6843963171864976598	1	1	1	1	1
448509604282083524	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16802761231552466352	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4312180868936104223	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10016806878065111246	14771401151246747869	7265916326799606203	178.017	47.5371	13538494259004304389	NaN	5656685945142785391	58	6843963171864976598	1442153748212	1	14.5	20.5	61	1	1	4	22	1	1	1	1652.5	2339.5	376	1523.5	5888.5	406	1	1	6843963171864976598	1	1	1	1	1
8884468120413934543	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3248466063548009701	14771401151246747869	7265916326799606203	175.561	60.7935	6220772307398391706	NaN	5656685945142785391	1	6843963171864976598	1442162572227	1	58	169	194.5	1	9569.5	11.5	1	1	1	1	325	2896	1493.5	7583.5	12295	229	1	1	6843963171864976598	1	1	1	1	8.5
15261488305014522445	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16420694758600962908	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
2463598968179110311	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
2600410861371585519	14771401151246747869	10081650206047489431	173.037	52.9591	11830957256725426636	NaN	5083169309446148209	1	14771401151246747869	1481467110358	1	1	2.5	28	1	8.5	1	11.5	29.5	1	1	8267.5	352	3106	9613	21335.5	1565.5	1	1	6843963171864976598	1	1	1	1	1
3880608190787229528	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7596047575537494405	14771401151246747869	3510303140463137969	168.321	44.557	12053342515913028007	NaN	3027499780234405913	1	6843963171864976598	1489729240354	1	1	2.5	8.5	1	8.5	1	10	127	1	1	2207.5	1067.5	2749	305.5	6326.5	112	1	1	6843963171864976598	1	1	1	1	1
17443517294250624201	34453685010072459	3659863142344469883	188.931	66.9129	2484761860878820743	NaN	5083169309446148209	1	14771401151246747869	1474607217343	1	21752.5	6433	4	186020	22001.5	4	215.5	26.5	1	1	27280	5272	36569.5	182944	252062	1181.5	1	1	6843963171864976598	1	1	1	40	151
8066007013292077042	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11338672500776577927	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
