c_02	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14
18241371269447560572	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
127986296144473723	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16817964626140702058	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
18115678144980242743	34453685010072459	6716276819294200956	154.65	45.4839	4194929074691605837	14932408205782014653	17823305840351706690	35.5	6843963171864976598	1455962723461	2.5	182.5	113.5	4	29065	2.5	20.5	484	37	2.5	1
6297584227211730913	34453685010072459	8738673263059797313	180.413	60.9321	8246800423513151869	5670906970630349367	3027499780234405913	1	6843963171864976598	1467131650229	2.5	725.5	253	3968.5	341.5	8.5	220	2714.5	85	157	1
9251736475003204106	34453685010072459	93026412643587012	172.692	58.0557	1903660851557760738	NaN	3027499780234405913	1	6843963171864976598	1484276662316	2.5	188.5	11.5	205	892	2.5	8.5	467.5	23.5	11.5	1
10757864805093325429	14771401151246747869	3875281194045982152	164.795	41.3832	11207636402603575363	NaN	5083169309446148209	1	6843963171864976598	1486103485360	2.5	8.5	68.5	1	328	1	1	1	1	1	1
3256419873127386979	34453685010072459	10467070217667796302	164.887	52.8213	4994850094228056084	8597423942596510645	8494060603423735195	44.5	6843963171864976598	1488033349249	2.5	43	26.5	1306	40	1	8.5	644.5	11.5	44.5	1
13826897624489098689	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12708680648987242257	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14124039560055808681	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
9175260159944159986	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15025471112961635904	14771401151246747869	7265916326799606203	200.453	69.647	5074896181334623698	9742912226696660918	5656685945142785391	46	6843963171864976598	1459953451253	2.5	1583.5	10	58	1.05556e+06	2.5	364	37381	130	41.5	1
5885085054365965305	14771401151246747869	8286680241381910257	182.341	49.015	18229522800004884422	13871198517152104089	3027499780234405913	1	6843963171864976598	1461418557294	2.5	268	16	209.5	35204.5	2.5	28	583	19	1	1
8746316848213314822	34453685010072459	4508042809385370800	21.4338	69.914	4366763696276954985	NaN	5656685945142785391	1	6843963171864976598	1462491121101	2.5	158.5	10	157	86.5	1	62.5	343	62.5	34	1
9681729844332945197	34453685010072459	4327320840796792320	188.668	70.9346	12161245769236735329	2311675351279610862	9203211364990347262	40	14771401151246747869	1463425512240	2.5	1577.5	31	152.5	3647.5	1	1	188466	151	1	1
15316726504732344653	14771401151246747869	16429264127763712662	176.41	48.1128	8378108768452697267	15316689738187232527	8494060603423735195	28	6843963171864976598	1468412248215	2.5	89.5	5.5	2.5	25	1	1	2.5	2.5	1	1
6580463486919104559	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8448288379437396857	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10566525366263593820	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1061886313817149050	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1911036223083231840	34453685010072459	9994592251766789421	1	1	16870020786991271308	18287832618552294197	16256945696872958129	35.5	6843963171864976598	1451130898138	2.5	106	100	1	1	47.5	2687.5	1	1	1	1
4571350969663316402	34453685010072459	3875281194045982152	157.927	44.1512	14605765816249056498	9853025728200234996	5656685945142785391	28	6843963171864976598	1463714644175	2.5	193	10	1	1526.5	1	1	13754.5	59.5	1	1
11483072504150454028	34453685010072459	4327320840796792320	164.439	52.4001	4994850094228056084	8597423942596510645	5656685945142785391	34	14771401151246747869	1466486086103	2.5	15908.5	32.5	1910.5	71470	2.5	56.5	226300	151	521.5	1
7549025031797142809	14771401151246747869	3556751062377730835	163.219	53.0292	2671654609611462669	2035873477144289784	16256945696872958129	28	6843963171864976598	1468814295368	2.5	173.5	148	25	547	2.5	2.5	14.5	7	1	1
6630656450301589657	34453685010072459	15073802288006578424	151.33	39.0979	12471062070605980947	11163705707204958638	18039304162397308428	26.5	6843963171864976598	1469971213195	2.5	56.5	16	13	97	1	1	10	4	1	1
1802531672764764452	34453685010072459	645805385508973343	181.829	42.6588	8018548380316780019	13941580923878329612	16256945696872958129	31	6843963171864976598	1470410163167	2.5	227.5	187	176.5	2416	4	59.5	1576	40	1	1
7801027520061619011	34453685010072459	4327320840796792320	173.19	47.3833	18312104889363715121	NaN	5656685945142785391	29.5	6843963171864976598	1471258316488	2.5	554.5	20.5	998.5	622	17.5	97	541	35.5	446.5	1
18277846597934613164	34453685010072459	3875281194045982152	170.949	35.5423	16870020786991271308	14805553423432444691	5656685945142785391	32.5	14771401151246747869	1471621220449	2.5	19831	10	20.5	53138.5	17.5	553	345000	151	12322	5.5
2256574147661298590	34453685010072459	7638001807695707609	175.847	60.8579	6220772307398391706	NaN	5656685945142785391	1	6843963171864976598	1487045561167	2.5	212.5	25	1	134.5	1	2.5	1540	41.5	25	1
14203744897130878971	34453685010072459	10211136965740185639	183.082	47.7727	7728751497385427149	NaN	5656685945142785391	1	6843963171864976598	1487407019139	2.5	1	1	1	1	1	1	1	1	1	1
6905402782574939318	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4984019072462244665	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14127382920942728079	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4869765956195557088	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11127954235779800778	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
6597916800151487066	34453685010072459	10211136965740185639	158.005	47.9838	8098108552695383840	703319107060129316	5656685945142785391	28	6843963171864976598	1459029575472	2.5	1226.5	25	1397.5	3955	1	1	8401	151	1	1
13160681408156355032	14771401151246747869	6062500207072726561	177.091	48.9021	6353108568278590683	NaN	8080533469335952745	32.5	14771401151246747869	1462295720374	2.5	455.5	118	418	707.5	2.5	22	19742.5	151	1	1
13057825993064239671	34453685010072459	16020623782118324895	179.102	49.3961	13511053462217847232	11261401698403513030	16574518080761652174	28	6843963171864976598	1463915962177	2.5	427	10	13	241	1	1	85	17.5	1	1
8381221936895790943	14771401151246747869	13882554632700455398	162.867	34.9533	11851432891717789825	2473457835650580586	8494060603423735195	50.5	6843963171864976598	1467869594375	2.5	16	244	1	293.5	1	1	1	1	1	1
956741335941647881	34453685010072459	1059215264010494733	175.488	60.9988	6220772307398391706	NaN	5083169309446148209	41.5	6843963171864976598	1487668120385	2.5	70	20.5	343	1	28	1220.5	76	17.5	202	1
4012881445077704111	34453685010072459	11050615065465248202	177.591	55.3713	1917441556221460225	NaN	16256945696872958129	1	6843963171864976598	1488627867425	2.5	89.5	4	899.5	61	1	2.5	2407	22	1804	1
9524907363919767525	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8822716965595789026	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8422406653977046356	34453685010072459	3659863142344469883	1	1	6220772307398391706	NaN	5656685945142785391	1	14771401151246747869	1455692436346	2.5	320.5	29.5	88	1	1	4	23.5	16	1	1
7791223642795803069	34453685010072459	9563170712902940974	174.034	35.4681	9934576631228333540	6486231215547827399	8146055994240252581	20.5	14771401151246747869	1459250459441	2.5	344.5	184	17.5	3637	4	79	2951.5	55	1	1
14536077095452534414	34453685010072459	16020623782118324895	168.306	62.1724	5696894177963687434	10334623993179531495	9203211364990347262	52	6843963171864976598	1465358678224	2.5	1381	418	71.5	9310	1	8.5	4333	151	79	1
10892935621645583251	14771401151246747869	3659863142344469883	157.968	44.1372	14605765816249056498	NaN	5656685945142785391	31	14771401151246747869	1465966178288	2.5	725.5	137.5	151	46283.5	1	2.5	164662	151	1	1
15137777698288195699	34453685010072459	10211136965740185639	183.161	47.8584	7728751497385427149	6486231215547827399	5656685945142785391	38.5	14771401151246747869	1467168222445	2.5	22676.5	17.5	934	377994	20.5	184	879574	151	2486.5	7
530122458820917117	14771401151246747869	16498594452945528807	181.75	47.9748	12855404259964902474	9995847261086977122	3027499780234405913	44.5	6843963171864976598	1467608257374	2.5	31	59.5	13	65.5	2.5	20.5	13	2.5	1	1
14545478759404651831	14771401151246747869	12273705178034493680	168.573	53.9411	1023208684086459107	12793086193907602718	8494060603423735195	1	6843963171864976598	1477022057418	2.5	194.5	118	314.5	347.5	1	1	343	22	1	1
647507874447876330	14771401151246747869	16498594452945528807	169.564	47.0761	8235975695051530959	NaN	8494060603423735195	1	6843963171864976598	1478068685449	2.5	5.5	4	1	59.5	1	1	1	1	1	1
16361123437158811288	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3406654694821323350	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3896033443059750337	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5848567760832493501	34453685010072459	3875281194045982152	175.687	60.9286	6220772307398391706	5701778913501848846	5656685945142785391	41.5	6843963171864976598	1426255832244	2.5	1798	59.5	1	97	35.5	79	659.5	56.5	1	1
3355368142584629765	34453685010072459	1247712084180255385	176.373	59.3959	17206023593600067121	11058795760867858417	7941305549320701127	32.5	6843963171864976598	1459776945356	2.5	1084	110.5	1	6587.5	64	208	4202.5	145	1	1
6456239573452163239	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12677580856615703321	34453685010072459	4628178076907787023	172.153	51.5777	7767233736704812458	9307505817100562589	17380934457458174105	37	6843963171864976598	1465340706212	2.5	1046.5	301	161.5	8737	1	5.5	4499.5	82	1	1
15028946938810079979	34453685010072459	645805385508973343	171.474	53.287	3164121748884072765	18100769022758241543	17664491804826521914	31	6843963171864976598	1466153317227	2.5	403	34	200.5	1181.5	1	1	4420	106	10	1
14480698256022707505	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3949933277376242154	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
18394318443058764845	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
122480448852451067	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
13159345285528930603	14771401151246747869	11493706343527073250	175.319	51.285	8119504745413324238	5934422841821369788	9203211364990347262	40	6843963171864976598	1459429533358	2.5	1096	2.5	241	124039	10	32.5	11774.5	151	340	2.5
10491287963055092332	34453685010072459	17089004857331286805	182.353	48.1554	12855404259964902474	NaN	8494060603423735195	1	6843963171864976598	1480171889354	2.5	17.5	2.5	25	8.5	1	1	14.5	5.5	1	1
13391202765364524655	34453685010072459	7964771042264225782	181.786	48.0719	12855404259964902474	NaN	3027499780234405913	1	6843963171864976598	1487775861343	2.5	26.5	28	86.5	8.5	2.5	1	49	7	49	1
15931048417508646741	34453685010072459	15694656548661744051	179.513	51.4326	17621835085789482009	NaN	10133237615746652626	1	6843963171864976598	1488376157184	2.5	59.5	28	80.5	8.5	14.5	232	401.5	14.5	125.5	1
6568920617964555096	34453685010072459	3875281194045982152	186.072	63.7983	17285744326937793943	NaN	5656685945142785391	1	6843963171864976598	1489151759217	2.5	77.5	4	50086	8.5	2.5	58	75520	13	416.5	17.5
11678246781079241622	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12997326548641924640	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7043602417026479525	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10318877274823615557	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10350613671265709814	14771401151246747869	8286680241381910257	165.709	42.7837	16427279569164715276	13871198517152104089	9203211364990347262	43	6843963171864976598	1460215325347	2.5	523	220	83.5	18737.5	1	20.5	1931.5	59.5	1	1
12849200335489679809	34453685010072459	7638001807695707609	181.446	48.3774	4420317783970329551	720166569342720195	5656685945142785391	29.5	14771401151246747869	1463015398240	2.5	85	11.5	17.5	1541.5	2.5	32.5	826	16	2.5	1
2837080692577945908	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14071059867011715277	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7887818261138782847	34453685010072459	4660484954393955857	155.368	53.4482	8191823133666973383	15703556172242271803	9728979009671476297	32.5	6843963171864976598	1477379502313	2.5	208	77.5	386.5	43	1	1	128.5	31	1	1
11706768880212517876	14771401151246747869	7265916326799606203	171.35	35.4588	7555030694101606672	NaN	5656685945142785391	1	6843963171864976598	1485943542415	2.5	49	1	290.5	8.5	1	1	826	31	1	1
10756943566690146224	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
2322186379236917269	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5096738238487240378	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12806118000377039262	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15147055787497567130	34453685010072459	13882554632700455398	182.966	66.4101	17419060264836623786	9247200499163699673	3027499780234405913	28	6843963171864976598	1461757986239	2.5	157	94	20.5	3694	1	1	12287.5	26.5	1	1
10295445893991200537	34453685010072459	10211136965740185639	163.012	48.0462	13081812710909121491	NaN	5656685945142785391	1	6843963171864976598	1469284365272	2.5	64	5.5	19	53.5	1	1	32.5	14.5	1	1
4338406936323558399	14771401151246747869	4327320840796792320	-109.973	62.1136	6069017923838612998	17066871759867565407	8520069569701857445	130	6843963171864976598	1470282860271	2.5	484	2.5	157	317719	2.5	4	12664	76	49	1
13639374103156129783	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12743378379203484496	34453685010072459	4327320840796792320	181.287	46.3751	7821691606952319426	9670159462652904241	5656685945142785391	35.5	14771401151246747869	1470481860457	2.5	5399.5	127	134.5	13270	1	19	12035.5	151	94	1
10089427023617248152	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4746196958974263375	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
2370887102064507405	34453685010072459	12574667121135963298	-119.176	41.3526	14638011675919407658	NaN	5656685945142785391	1	6843963171864976598	1478790101432	2.5	40	14.5	5.5	8.5	1	1	4	4	1	1
1383180453793431197	34453685010072459	10042331214081538537	171.217	34.4516	8055002158422982092	17015449044457980710	16256945696872958129	28	6843963171864976598	1485390548155	2.5	40	2.5	31	1	1	1	11.5	7	1	1
6629845621532666569	34453685010072459	10211136965740185639	209.725	54.3624	10865693097851608662	NaN	5656685945142785391	1	6843963171864976598	1486359830322	2.5	10	8.5	1	1	1	1	1	1	1	1
2797798859190004553	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5921464471117841594	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11104812560708358411	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16923698170917170610	14771401151246747869	7265916326799606203	182.075	37.1829	4487083389345421794	15630999787903080217	5656685945142785391	32.5	6843963171864976598	1456150868317	2.5	23243.5	5.5	6421	701641	2.5	1319.5	116666	151	24158.5	28
1081185870969748219	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12440804522420059148	34453685010072459	13882554632700455398	160.795	45.352	9635603008648383983	7676342162347869343	8494060603423735195	28	6843963171864976598	1466406459229	2.5	70	10	95.5	293.5	10	385	70	14.5	91	1
6460680583702265574	34453685010072459	10283387307965708614	174.819	43.8612	18333545852832717167	NaN	3027499780234405913	1	6843963171864976598	1481892269436	2.5	73	28	263.5	8.5	4	262	140.5	8.5	1	1
7253673624783123225	34453685010072459	9773026300722614985	173.987	53.5468	4576015824904017218	14806166345540304941	8080533469335952745	26.5	6843963171864976598	1484290504351	2.5	88	17.5	26.5	1	10	5.5	14.5	4	1	1
5196076458531157900	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7585732458853072420	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11135787342061921153	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14252887130366856501	34453685010072459	12236148022553120681	170.721	45.0658	7131044610902317786	6486231215547827399	9203211364990347262	40	6843963171864976598	1457205313180	2.5	761.5	625	217	184	1	26.5	65.5	19	1	1
2923933796194751605	34453685010072459	14120016170634869517	156.601	55.1596	16119886518435264805	9995847261086977122	8494060603423735195	34	14771401151246747869	1457274991170	2.5	8638	337	18379	8642.5	13	629.5	15709	151	5762.5	2.5
15140292364883395473	34453685010072459	8286680241381910257	185.696	63.2464	6364529877158533428	NaN	9203211364990347262	1	6843963171864976598	1459566543150	2.5	43	28	80.5	1	5.5	17.5	46	5.5	1	1
3623036221466909362	14771401151246747869	829927479818842979	164.76	33.2309	9469941495144924810	18251273382617590893	7941305549320701127	173.5	6843963171864976598	1460651911313	2.5	55	187	1	50672.5	1	5.5	1	1	1	1
898061363001284471	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1130622022741727699	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8700153803921171199	14771401151246747869	17089004857331286805	183.217	47.3653	7728751497385427149	NaN	8494060603423735195	28	6843963171864976598	1477432026232	2.5	19	10	1	11.5	1	1	1	1	1	1
7283712418147122765	34453685010072459	15694656548661744051	169.66	60.045	9558421879539015311	NaN	5656685945142785391	1	6843963171864976598	1481860508256	2.5	77.5	7	61	8.5	10	2.5	20.5	11.5	11.5	1
3494431894881766407	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1468433095508610304	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11242930392664099296	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4921679831075700205	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15479031362128810380	34453685010072459	7265916326799606203	132.473	66.6763	7431924554772899137	11666180403210478998	16256945696872958129	29.5	6843963171864976598	1454357837273	2.5	382	59.5	1	527.5	1	1	1117	94	1	1
3911524179461964124	14771401151246747869	7265916326799606203	172.261	46.7322	18312104889363715121	4532628721693778760	16244310678531341320	34	6843963171864976598	1458449016165	2.5	250	392.5	223	54806.5	7	515.5	1484.5	46	442	1
13720265323182175209	34453685010072459	3659863142344469883	121.441	62.7857	15269012993848206518	11666915786961068307	8494060603423735195	32.5	14771401151246747869	1461486871300	2.5	1786	98.5	3470.5	1837	44.5	200.5	1531	151	1	1
1325532233578985489	34453685010072459	3484004158094682932	181.737	57.396	12093290839936971212	1066413941480268369	9203211364990347262	31	6843963171864976598	1461898056386	2.5	301	382	136	5204.5	1	1	224.5	23.5	1	1
10898109000733065496	34453685010072459	15174150960585285269	186.901	72.0314	14431035886943555482	17927829176078238611	9203211364990347262	1	6843963171864976598	1465397420293	2.5	146.5	143.5	109	923.5	1	1	848.5	32.5	5.5	1
836519019757236082	14771401151246747869	14598088572018628957	170.504	39.629	14068915344267837629	15088041788876472752	8494060603423735195	26.5	6843963171864976598	1469025925168	2.5	490	415	227.5	11075.5	8.5	22	1112.5	62.5	218.5	1
1029168867706616549	14771401151246747869	780966791823325461	182.892	47.5436	7728751497385427149	9797440390896746697	12172113128878323508	32.5	6843963171864976598	1472995263428	2.5	13	11.5	1	2393.5	1	1	1	1	1	1
349965078565124004	14771401151246747869	7638001807695707609	172.439	46.8125	18312104889363715121	NaN	5656685945142785391	1	6843963171864976598	1477312231324	2.5	113.5	2.5	2.5	1	1	232	2.5	2.5	1	1
367134786564084118	34453685010072459	3659863142344469883	175.427	61.1561	6220772307398391706	13871198517152104089	5656685945142785391	1	6843963171864976598	1484917529254	2.5	248.5	28	232	1118.5	20.5	565	1180	31	56.5	1
2019991610319148149	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11712775958245952806	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
13105974994175568967	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10610068598790167043	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14802849147418491750	14771401151246747869	5712530781800467921	157.87	36.5542	10631363442996537283	10901379067279916388	16256945696872958129	31	6843963171864976598	1457889945155	2.5	622	53.5	14.5	5.5	1	1	13	4	1	1
17061379569028051027	34453685010072459	8201911506017907013	114.959	60.1869	7685069979219340590	NaN	5083169309446148209	1	6843963171864976598	1470313034181	2.5	299.5	65.5	115	1067.5	1	22	3662.5	70	35.5	1
