n_1	n_2	n_3	t_01	c_02	c_01
1	1	1	1493913639620	8465051209319800677	7378716975272806602
1	1	1	1493913639622	15137777698288195699	7378716975272806602
1	1	1	1493913639627	10793114528339254987	7378716975272806602
1	1	1	1493913639640	3530759260961072008	7378716975272806602
1	1	1	1493913639647	12473572986694041195	7378716975272806602
1	1	1	1493913639656	11992950001255204727	7378716975272806602
1	1	1	1493913639657	10323685754356465240	7378716975272806602
2.5	1	1	1493913639668	12421511285382816632	1933241178137177906
1	1	1	1493913639671	3247746943451267085	1933241178137177906
1	1	1	1493913639673	7750113260883508388	7378716975272806602
1	1	1	1493913639683	15469585505670671652	7378716975272806602
1	1	1	1493913639683	2851271713589382785	7378716975272806602
1	1	1	1493913639697	8896229822258699375	7378716975272806602
1	1	1	1493913639698	5804828223645372681	7378716975272806602
1	1	1	1493913639710	6118351611368807092	7378716975272806602
1	1	1	1493913639712	11464297685141444301	7378716975272806602
1	1	1	1493913639725	1936483604198467336	7378716975272806602
1	1	1	1493913639726	12421511285382816632	7378716975272806602
1	1	1	1493913639742	14495909600080020024	7378716975272806602
1	1	1	1493913639750	6409821024638183003	7378716975272806602
1	1	1	1493913639752	18277155309485317777	7378716975272806602
1	1	1	1493913639761	627200129518939419	7378716975272806602
1	1	1	1493913639768	9010599618485218729	7378716975272806602
1	1	1	1493913639770	2414941635428745510	7378716975272806602
1	1	1	1493913639794	10250604682044832110	7378716975272806602
5.5	1	1	1493913640740	13448068690252910844	15595906022792854806
1	1	1	1493913643529	725858092493503998	12308022862916793417
1	1	1	1493913643597	7750113260883508388	12308022862916793417
1	1	1	1493913643603	16051887458063369019	12308022862916793417
1	1	1	1493913643610	2414941635428745510	3440695262997680575
1	1	1	1493913643642	5665768581107326254	3440695262997680575
1	1	1	1493913643705	6959936082153545889	12308022862916793417
1	1	1	1493913645543	438027866392819997	6976252115026712143
1	1	1	1493913645562	16765718956633435083	6976252115026712143
1	1	1	1493913645562	8896229822258699375	6976252115026712143
1	1	1	1493913645572	17207035804849283887	6976252115026712143
1	1	1	1493913645588	3827265404898216811	6976252115026712143
1	1	1	1493913645654	11464297685141444301	6976252115026712143
1	1	1	1493913645668	6484761099978166748	6976252115026712143
1	1	1	1493913645672	14475392532262432119	6976252115026712143
1	1	1	1493913645718	6959936082153545889	6976252115026712143
1	1	1	1493913645735	15469585505670671652	6976252115026712143
11.5	1	1	1493913647509	13783391418674054914	3944725490916623378
4	1	1	1493913647524	6848852981631020808	3836452298237570004
2.5	1	1	1493913647545	17561952456535862195	3836452298237570004
2.5	1	1	1493913647549	3478276700407291838	3836452298237570004
1	1	1	1493913647598	11293369908807543177	3836452298237570004
1	1	1	1493913647603	4218702234227205580	3836452298237570004
4	1	1	1493913647616	15024512954312762555	3836452298237570004
2.5	1	1	1493913647618	13668083619449423557	3836452298237570004
2.5	1	1	1493913647621	8542196353170082502	3836452298237570004
7	1	1	1493913647628	2079443184707296715	3836452298237570004
2.5	1	1	1493913647632	16022889771482384965	3836452298237570004
4	1	1	1493913647662	9216329697925483678	3836452298237570004
7	1	1	1493913647733	5449062665995627703	3836452298237570004
14.5	1	1	1493913647751	11992950001255204727	3836452298237570004
1	1	1	1493913647763	15137777698288195699	3836452298237570004
2.5	1	1	1493913647794	8196753459479500028	3836452298237570004
2.5	1	1	1493913649558	2183882076818627552	6294385210697427806
26.5	1	1	1493913649622	2665815103940912083	6294385210697427806
1	1	1	1493913652550	2665815103940912083	15643776532764160101
1	1	1	1493913655561	6848852981631020808	4210762791925086042
1	1	1	1493913655590	1903912195931440818	4210762791925086042
1	1	1	1493913655645	2183882076818627552	4210762791925086042
1	1	1	1493913655726	10693896803514645228	4210762791925086042
1	1	1	1493913655742	10503878146262666097	4210762791925086042
1	1	1	1493913659510	7795014477960920971	402366830590380679
1	1	1	1493913659559	10793114528339254987	402366830590380679
1	1	1	1493913659572	14763243817905105918	402366830590380679
1	1	1	1493913659581	15089587515237390326	402366830590380679
1	1	1	1493913659612	2183882076818627552	402366830590380679
1	1	1	1493913659650	5013257265120138711	402366830590380679
1	1	1	1493913659670	6757033211386309713	402366830590380679
1	1	1	1493913659716	13884593474981695865	402366830590380679
1	1	1	1493913659727	15242682225243326048	402366830590380679
1	1	1	1493913659750	14485134489792817834	402366830590380679
1	1	1	1493913659758	16313388004208767989	402366830590380679
1	1	1	1493913659769	4773248326628598629	402366830590380679
1	1	1	1493913659772	4659407244660662732	402366830590380679
65.5	1	1	1493913659778	7750113260883508388	13177272482746864658
1	1	1	1493913660501	7551127386362509384	3258003196776223232
1	1	1	1493913660527	3357165528367806273	3258003196776223232
1	1	1	1493913660629	15259195374027767793	3258003196776223232
5.5	1	1	1493913660637	18277155309485317777	536860508585081978
1	1	1	1493913660639	7985670548375794668	3258003196776223232
1	1	1	1493913660658	6959936082153545889	3258003196776223232
1	1	1	1493913660664	12403696085892813048	3258003196776223232
16	1	1	1493913660693	9544145203823252426	536860508585081978
10	1	1	1493913660737	7985670548375794668	536860508585081978
1	1	1	1493913660746	2912395007609170358	3258003196776223232
323.5	1	1	1493913661576	9010599618485218729	13784824766183421111
5.5	1	1	1493913661787	18277155309485317777	13784824766183421111
10	1	1	1493913663547	5402471892133159765	17749043220044289099
2.5	1	1	1493913663644	2078712661038356466	17749043220044289099
16	1	1	1493913663706	15318502455195899238	17749043220044289099
4	1	1	1493913663712	85950806759770696	17749043220044289099
1	1	1	1493913663734	6648472193321585296	14990144947286317452
2.5	1	1	1493913664514	7012719118334409300	13939201143519311314
38.5	1	1	1493913664518	11464297685141444301	13939201143519311314
5.5	1	1	1493913664544	5180996204344025294	13939201143519311314
7	1	1	1493913664547	10503878146262666097	11932655749535390667
1	1	1	1493913664548	5665768581107326254	13939201143519311314
5.5	1	1	1493913664569	4770413909729881649	13939201143519311314
2.5	1	1	1493913664575	10693896803514645228	13939201143519311314
1	1	1	1493913664582	750892775438072489	13939201143519311314
10	1	1	1493913664583	7985670548375794668	13939201143519311314
5.5	1	1	1493913664585	2060014406617908810	13939201143519311314
16	1	1	1493913664623	9544145203823252426	13939201143519311314
1	1	1	1493913664648	8540234462524788859	13939201143519311314
2.5	1	1	1493913664653	8481480072735662910	13939201143519311314
1	1	1	1493913664719	3357165528367806273	13939201143519311314
5.5	1	1	1493913664725	14439614955767033108	13939201143519311314
1	1	1	1493913664726	14454082967588774063	13939201143519311314
7	1	1	1493913664733	17386056714204319804	13939201143519311314
1	1	1	1493913664744	17508863438096317374	13939201143519311314
1	1	1	1493913664748	18026620780765936790	13939201143519311314
10	1	1	1493913664771	5402471892133159765	13939201143519311314
7	1	1	1493913664797	10503878146262666097	11932655749535390667
1	1	1	1493913665724	4862919415890873448	12358124084896406591
10	1	1	1493913675500	13078685680183977209	17665745978268954119
1	1	1	1493913675591	1666884223470062653	17665745978268954119
4	1	1	1493913675673	9509178286244321665	17665745978268954119
1	1	1	1493913683506	14660019741919913909	4135975090645887907
2.5	1	1	1493913685616	2990819200303074180	18257497102703345141
1	1	1	1493913688517	10725972699300636289	3144039136806009853
1	1	1	1493913688525	2998441518062379896	6619118626335204581
1	1	1	1493913688526	8540234462524788859	3144039136806009853
7	1	1	1493913688527	14475392532262432119	3144039136806009853
1	1	1	1493913688542	17927186565659586310	6619118626335204581
1	1	1	1493913688551	3188653217501372862	6619118626335204581
1	1	1	1493913688555	8167834896040751346	6619118626335204581
1	1	1	1493913688568	16229370365753432965	3144039136806009853
1	1	1	1493913688577	2665815103940912083	6619118626335204581
1	1	1	1493913688588	8896229822258699375	6619118626335204581
1	1	1	1493913688594	8481480072735662910	6619118626335204581
1	1	1	1493913688601	13078685680183977209	6619118626335204581
1	1	1	1493913688602	8439759418693557591	6619118626335204581
1	1	1	1493913688619	1477764694144534415	6619118626335204581
16	1	1	1493913688642	7255543177891735343	3144039136806009853
1	1	1	1493913688656	10174903411479758858	3144039136806009853
1	1	1	1493913688669	16229370365753432965	3144039136806009853
1	1	1	1493913688675	2306293516632017215	6619118626335204581
1	1	1	1493913688679	15205927435722549745	6619118626335204581
1	1	1	1493913688692	7750113260883508388	3144039136806009853
1	1	1	1493913688693	10725972699300636289	6619118626335204581
1	1	1	1493913688722	10174903411479758858	6619118626335204581
7	1	1	1493913688733	14475392532262432119	3144039136806009853
1	1	1	1493913688754	2484233834097602920	6619118626335204581
1	1	1	1493913688761	6648472193321585296	6619118626335204581
1	1	1	1493913688766	18366792803783431068	6619118626335204581
1	1	1	1493913688766	4061834014911554768	6619118626335204581
13	1	1	1493913688778	4654840240992873202	3144039136806009853
1	1	1	1493913697617	5192968964289268501	11527077109003038867
1	1	1	1493913701526	10174903411479758858	2625266566191646903
1	1	1	1493913701535	8439759418693557591	2625266566191646903
8.5	1	1	1493913701552	16711113943393759208	2625266566191646903
2.5	1	1	1493913701568	1522857077981898057	2625266566191646903
10	1	1	1493913701576	13507389809832966475	2625266566191646903
1	1	1	1493913701580	5192968964289268501	2625266566191646903
4	1	1	1493913701592	15918515184800110088	2625266566191646903
7	1	1	1493913701599	15259195374027767793	2625266566191646903
5.5	1	1	1493913701608	14301880009343272377	2625266566191646903
4	1	1	1493913701609	9216329697925483678	2625266566191646903
1	1	1	1493913701629	750892775438072489	2625266566191646903
1	1	1	1493913701647	725858092493503998	2625266566191646903
1	1	1	1493913701682	5665768581107326254	2625266566191646903
1	1	1	1493913701702	10793114528339254987	2625266566191646903
4	1	1	1493913701720	1874857814475608295	2625266566191646903
2.5	1	1	1493913701752	18366792803783431068	2625266566191646903
7	1	1	1493913701759	5770711666981208091	2625266566191646903
10	1	1	1493913701768	9077615989125334657	2625266566191646903
11.5	1	1	1493913703558	14454082967588774063	13056691081757272313
10	1	1	1493913703566	6648472193321585296	13056691081757272313
1	1	1	1493913703704	10693896803514645228	13056691081757272313
2.5	1	1	1493913703792	17400593783565407178	13056691081757272313
23.5	1	1	1493913704741	10469879042194243070	8785249243276064641
1	1	1	1493913706503	10725972699300636289	11033219915313884714
1	1	1	1493913708726	15259195374027767793	13174170921998852675
5.5	1	1	1493913710508	5962121464796762338	17415452171894168834
5.5	1	1	1493913710791	5962121464796762338	17415452171894168834
1	1	1	1493913713505	5083668607903247144	13108381505890871107
1	1	1	1493913713545	4773248326628598629	13108381505890871107
1	1	1	1493913713564	4015783306976116708	13108381505890871107
1	1	1	1493913713565	3530759260961072008	13108381505890871107
1	1	1	1493913713566	11028606301192213241	13108381505890871107
1	1	1	1493913713574	4770413909729881649	13108381505890871107
1	1	1	1493913713575	2782422838980576230	13108381505890871107
1	1	1	1493913713581	10725972699300636289	13108381505890871107
1	1	1	1493913713599	8705354528228983783	13108381505890871107
1	1	1	1493913713602	4862919415890873448	13108381505890871107
1	1	1	1493913713603	5134097191651349987	13108381505890871107
1	1	1	1493913713615	13303196884855093814	13108381505890871107
1	1	1	1493913713618	17869135326563078230	13108381505890871107
1	1	1	1493913713619	8481480072735662910	13108381505890871107
1	1	1	1493913713625	15127996333272084081	13108381505890871107
1	1	1	1493913713632	271473819737400888	13108381505890871107
1	1	1	1493913713636	2912395007609170358	13108381505890871107
1	1	1	1493913713650	8540234462524788859	13108381505890871107
1	1	1	1493913713652	13737962370049417010	13108381505890871107
1	1	1	1493913713666	12806969774292955024	13108381505890871107
1	1	1	1493913713673	13668083619449423557	13108381505890871107
1	1	1	1493913713674	14660019741919913909	13108381505890871107
1	1	1	1493913713677	17686479970923606440	13108381505890871107
1	1	1	1493913713683	18026620780765936790	13108381505890871107
1	1	1	1493913713684	15318502455195899238	13108381505890871107
1	1	1	1493913713710	5671893259725896454	13108381505890871107
1	1	1	1493913713721	15601932158720862031	13108381505890871107
1	1	1	1493913713722	16229370365753432965	13108381505890871107
1	1	1	1493913713726	16212571830582606286	13108381505890871107
1	1	1	1493913713727	14634065541911804265	13108381505890871107
1	1	1	1493913713734	14763243817905105918	13108381505890871107
1	1	1	1493913713766	2665815103940912083	13108381505890871107
1	1	1	1493913713774	111156138102406645	13108381505890871107
1	1	1	1493913713775	17508863438096317374	13108381505890871107
1	1	1	1493913715555	17386056714204319804	8605880636488730152
1	1	1	1493913715576	12403696085892813048	8605880636488730152
1	1	1	1493913715582	5192968964289268501	8605880636488730152
1	1	1	1493913715649	13303196884855093814	8605880636488730152
1	1	1	1493913715701	12403696085892813048	8605880636488730152
1	1	1	1493913715737	8705354528228983783	8605880636488730152
1	1	1	1493913715766	2183882076818627552	8605880636488730152
1	1	1	1493913715772	2912395007609170358	1260785312661944880
1	1	1	1493913715781	17508863438096317374	8605880636488730152
1	1	1	1493913720704	4477716336205849670	11033219915313884714
1	1	1	1493913722694	8952785082608983266	17361048173422032664
1	1	1	1493913724543	4218702234227205580	357410106036509559
1	1	1	1493913724644	7255543177891735343	357410106036509559
1	1	1	1493913724665	18227678123583130146	357410106036509559
1	1	1	1493913724766	11992950001255204727	357410106036509559
1	1	1	1493913724776	13783391418674054914	357410106036509559
1	1	1	1493913725609	14719060852985699203	11113785238323574001
1	1	1	1493913725643	18026620780765936790	11113785238323574001
1	1	1	1493913725790	2322186379236917269	11113785238323574001
2.5	1	1	1493913730702	14660019741919913909	4020248730863993388
2.5	1	1	1493913730710	2183882076818627552	4020248730863993388
2.5	1	1	1493913730722	14660019741919913909	4020248730863993388
1	1	1	1493913730737	1666884223470062653	11569088381142764052
2.5	1	1	1493913731535	2912395007609170358	17949049417667782475
1	1	1	1493913731562	13613406257399165187	15595906022792854806
5.5	1	1	1493913731590	15024512954312762555	15595906022792854806
1	1	1	1493913731610	10611007961394538213	15595906022792854806
1	1	1	1493913731612	8940113311975367378	15595906022792854806
1	1	1	1493913731619	10323685754356465240	15595906022792854806
1	1	1	1493913731652	14839134753992642835	15595906022792854806
1	1	1	1493913731661	12421511285382816632	15595906022792854806
4	1	1	1493913731684	1874857814475608295	15595906022792854806
5.5	1	1	1493913731746	1477764694144534415	15595906022792854806
38.5	1	1	1493913731765	11464297685141444301	17949049417667782475
1	1	1	1493913731767	2078712661038356466	15595906022792854806
1	1	1	1493913733517	17508863438096317374	10059021059692234548
1	1	1	1493913733549	15408444236104520168	10059021059692234548
1	1	1	1493913733628	4292633969877387049	10059021059692234548
1	1	1	1493913733643	8439759418693557591	10059021059692234548
1	1	1	1493913733712	2912395007609170358	10059021059692234548
1	1	1	1493913734524	1666884223470062653	13598216338231506050
1	1	1	1493913734617	7985670548375794668	8729809369498143009
1	1	1	1493913734625	1666884223470062653	13598216338231506050
1	1	1	1493913734707	12236636630577615147	8729809369498143009
1	1	1	1493913734754	9544145203823252426	8729809369498143009
1	1	1	1493913734772	8952785082608983266	8729809369498143009
1	1	1	1493913736501	7985670548375794668	12798057054495540198
1	1	1	1493913736514	18026620780765936790	2868216058190566804
1	1	1	1493913736524	8190248515562702979	12798057054495540198
1	1	1	1493913736528	7985670548375794668	2868216058190566804
1	1	1	1493913736543	9077615989125334657	12798057054495540198
1	1	1	1493913736556	18137856011088938751	12798057054495540198
1	1	1	1493913736566	17508863438096317374	12798057054495540198
1	1	1	1493913736566	9509178286244321665	2868216058190566804
1	1	1	1493913736568	5192968964289268501	12798057054495540198
1	1	1	1493913736589	2912395007609170358	2868216058190566804
1	1	1	1493913736595	3247746943451267085	12798057054495540198
1	1	1	1493913736601	10174903411479758858	2868216058190566804
1	1	1	1493913736618	11028606301192213241	12798057054495540198
1	1	1	1493913736621	14660019741919913909	2868216058190566804
1	1	1	1493913736633	10570806943385643419	12798057054495540198
1	1	1	1493913736641	2851271713589382785	12798057054495540198
1	1	1	1493913736643	8425085917874451000	12798057054495540198
1	1	1	1493913736651	18026620780765936790	12798057054495540198
1	1	1	1493913736667	17016805903321407751	12798057054495540198
1	1	1	1493913736673	6648472193321585296	12798057054495540198
1	1	1	1493913736714	10725972699300636289	2868216058190566804
1	1	1	1493913736724	2322186379236917269	12798057054495540198
1	1	1	1493913736740	18026620780765936790	12798057054495540198
1	1	1	1493913736750	12820962708285115057	2868216058190566804
1	1	1	1493913736751	15205927435722549745	12798057054495540198
1	1	1	1493913736765	9544145203823252426	12798057054495540198
1	1	1	1493913738570	10727989243303980461	5103842883953485116
1	1	1	1493913738595	16051887458063369019	5103842883953485116
1	1	1	1493913738654	15205927435722549745	5103842883953485116
1	1	1	1493913738654	2912395007609170358	5103842883953485116
1	1	1	1493913738768	17505418776363122359	5103842883953485116
1	1	1	1493913754522	3188653217501372862	6684410251811723093
1	1	1	1493913754524	3447487909374375982	6684410251811723093
1	1	1	1493913754537	12806969774292955024	6684410251811723093
1	1	1	1493913754551	4061834014911554768	6684410251811723093
1	1	1	1493913754599	8896229822258699375	6684410251811723093
1	1	1	1493913754605	10680789879338158678	6684410251811723093
1	1	1	1493913754620	4862919415890873448	6684410251811723093
1	1	1	1493913754638	10503878146262666097	6684410251811723093
1	1	1	1493913754640	14454082967588774063	6684410251811723093
1	1	1	1493913754685	7750113260883508388	6684410251811723093
1	1	1	1493913754689	12046675165848454188	6684410251811723093
1	1	1	1493913754691	14485134489792817834	6684410251811723093
1	1	1	1493913754694	1477764694144534415	6684410251811723093
1	1	1	1493913754696	12236636630577615147	6684410251811723093
1	1	1	1493913754720	17386056714204319804	6684410251811723093
1	1	1	1493913754756	750892775438072489	6684410251811723093
1	1	1	1493913754789	15408444236104520168	6684410251811723093
1	1	1	1493913761513	16229370365753432965	16184008856359644143
5.5	1	1	1493913761518	14301880009343272377	16184008856359644143
7	1	1	1493913761525	10503878146262666097	16184008856359644143
8.5	1	1	1493913761539	1801431999810370137	16184008856359644143
1	1	1	1493913761543	438027866392819997	16184008856359644143
65.5	1	1	1493913761551	7750113260883508388	16184008856359644143
7	1	1	1493913761558	4477716336205849670	16184008856359644143
1	1	1	1493913761562	12806969774292955024	16184008856359644143
7	1	1	1493913761583	8952785082608983266	16184008856359644143
1	1	1	1493913761674	16212571830582606286	6911988853436428439
1	1	1	1493913761674	5804828223645372681	16184008856359644143
11.5	1	1	1493913761687	17207035804849283887	16184008856359644143
20.5	1	1	1493913761717	2665815103940912083	6911988853436428439
5.5	1	1	1493913761725	5685791559122047194	16184008856359644143
16	1	1	1493913761738	17182751344479566837	16184008856359644143
5.5	1	1	1493913761740	1086100477591065377	16184008856359644143
11.5	1	1	1493913761789	725858092493503998	16184008856359644143
10	1	1	1493913766513	7985670548375794668	11303294726981943828
65.5	1	1	1493913766519	7750113260883508388	11303294726981943828
7	1	1	1493913766606	15259195374027767793	11303294726981943828
1	1	1	1493913766610	18215635028146907566	11303294726981943828
38.5	1	1	1493913766643	11464297685141444301	11303294726981943828
1	1	1	1493913766726	9544145203823252426	3405056894395376722
1	1	1	1493913766748	8190248515562702979	11303294726981943828
1	1	1	1493913766795	5804828223645372681	11303294726981943828
1	1	1	1493913767514	4442021277209723145	13750176816539865035
1	1	1	1493913767566	16785612142872771223	13750176816539865035
1	1	1	1493913767588	9010599618485218729	13750176816539865035
1	1	1	1493913767589	2636556111542793150	13750176816539865035
1	1	1	1493913767788	9500304851835807621	13750176816539865035
1	1	1	1493913769532	16313388004208767989	4890039257950335101
1	1	1	1493913769552	7692417240246312261	4890039257950335101
1	1	1	1493913769553	10793114528339254987	4890039257950335101
1	1	1	1493913769576	10693896803514645228	4890039257950335101
1	1	1	1493913769590	4862919415890873448	4890039257950335101
1	1	1	1493913769593	6128772998293150340	4890039257950335101
1	1	1	1493913769597	6757033211386309713	4890039257950335101
1	1	1	1493913769608	12806969774292955024	4890039257950335101
1	1	1	1493913769632	14719060852985699203	4890039257950335101
1	1	1	1493913769634	6648472193321585296	4890039257950335101
1	1	1	1493913769643	17927186565659586310	4890039257950335101
1	1	1	1493913769652	7887512635154789052	4890039257950335101
1	1	1	1493913769666	2060014406617908810	4890039257950335101
1	1	1	1493913769667	2322186379236917269	4890039257950335101
1	1	1	1493913769686	1980840800783176306	4890039257950335101
1	1	1	1493913769702	438027866392819997	4890039257950335101
1	1	1	1493913769710	16313388004208767989	4890039257950335101
1	1	1	1493913769710	6040234712716966397	4890039257950335101
1	1	1	1493913769722	14660019741919913909	4890039257950335101
1	1	1	1493913769731	10323685754356465240	4890039257950335101
1	1	1	1493913769736	13078685680183977209	4890039257950335101
1	1	1	1493913769747	9077615989125334657	4890039257950335101
1	1	1	1493913769752	12473572986694041195	4890039257950335101
1	1	1	1493913769759	8952785082608983266	4890039257950335101
1	1	1	1493913769761	1477764694144534415	4890039257950335101
1	1	1	1493913769765	5770711666981208091	4890039257950335101
1	1	1	1493913769776	11982065865359330002	4890039257950335101
1	1	1	1493913769777	11979191637953901396	4890039257950335101
1	1	1	1493913769793	15089587515237390326	4890039257950335101
1	1	1	1493913770633	8439759418693557591	14361245818587999684
1	1	1	1493913770696	13783391418674054914	5702881927972859531
1	1	1	1493913770706	1666884223470062653	14361245818587999684
10	1	1	1493913770719	7985670548375794668	14361245818587999684
2.5	1	1	1493913770734	2912395007609170358	14361245818587999684
1	1	1	1493913770735	16212571830582606286	14361245818587999684
1	1	1	1493913770765	6409821024638183003	15643776532764160101
1	1	1	1493913772502	18026620780765936790	12742476405588961411
1	1	1	1493913772528	16022050911534123240	12742476405588961411
1	1	1	1493913772530	2912395007609170358	4892278000002683018
2.5	1	1	1493913772552	17535442937335895978	12742476405588961411
1	1	1	1493913772554	17508863438096317374	12742476405588961411
10	1	1	1493913772565	7985670548375794668	12742476405588961411
1	1	1	1493913772576	17182751344479566837	4892278000002683018
4	1	1	1493913772582	14551410799092051783	12742476405588961411
1	1	1	1493913772583	17508863438096317374	12742476405588961411
1	1	1	1493913772594	6452571134457992041	12742476405588961411
1	1	1	1493913772608	2079443184707296715	4892278000002683018
1	1	1	1493913772625	18215635028146907566	12742476405588961411
1	1	1	1493913772644	18215635028146907566	12742476405588961411
1	1	1	1493913772679	6363280290994730787	12742476405588961411
1	1	1	1493913772703	2990819200303074180	12742476405588961411
2.5	1	1	1493913772738	18137856011088938751	12742476405588961411
1	1	1	1493913772741	17508863438096317374	12742476405588961411
4	1	1	1493913772765	15242682225243326048	12742476405588961411
2.5	1	1	1493913772773	2912395007609170358	12742476405588961411
2.5	1	1	1493913772796	18137856011088938751	12742476405588961411
1	1	1	1493913778509	14634065541911804265	2078034422813897433
1	1	1	1493913778523	17016805903321407751	2078034422813897433
1	1	1	1493913778565	15242682225243326048	2078034422813897433
1	1	1	1493913778663	2912395007609170358	2078034422813897433
1	1	1	1493913778671	17686479970923606440	2078034422813897433
1	1	1	1493913778696	5665768581107326254	2078034422813897433
1	1	1	1493913778698	12995894380866614245	2078034422813897433
1	1	1	1493913778707	5748182801597155516	2078034422813897433
