c_02	n_1	n_2	n_3	n_4	n_5	n_6	n_7	n_8	n_9
1616725623050154113	1007.5	2.5	1	1	1	1007.5	2.5	1	1
11979191637953901396	285853	146.5	96392.5	304	19376.5	169783	3997	1	1
5213512784525211369	4270	11.5	1	1	3989.5	281.5	1	1	1
6171130587994411211	1	1	1	1	1	1	1	1	1
17280044193177624708	1	1	1	1	1	1	1	1	1
13827568209917845441	1	1	1	1	1	1	1	1	1
7693362399989880965	1	1	1	1	1	1	1	1	1
3863513930385715561	1	1	1	1	1	1	1	1	1
10026911179654661939	26945.5	31	20405.5	1	2225.5	4316.5	164.5	1	1
9145404705246348543	170784	40	103	1	1	170682	1840	1	1
15369177148413736456	10588	23.5	1	533.5	469	9587.5	1	1	1
5045802018325237709	1	1	1	1	1	1	1	1	1
3553415832768809940	1	1	1	1	1	1	1	1	1
648916529920900465	1	1	1	1	1	1	1	1	1
15823792167293581250	1	1	1	1	1	1	1	1	1
13235332579537217388	45614.5	44.5	1	4216	36131.5	5269	1	1	1
3608252803229715615	1	1	1	1	1	1	1	1	1
3054879351439382847	9805	25	955	187	116.5	8549.5	38.5	1	1
15730890850961649952	4334.5	5.5	3416.5	1	1	919	1	1	1
7260357626200283917	316492	223	1	158418	40742.5	117334	2084.5	1	1
7596781066377138286	274262	68.5	5.5	3031	96304	174925	350.5	1	1
16522502715427092292	1	1	1	1	1	1	1	1	1
10227229340312561367	1	1	1	1	1	1	1	1	1
18306849281116750953	30482.5	22	1	1915	26407	2162.5	244	1	1
4624061465567689219	409588	64	1	1	67825	341764	10867	1	1
8702978177867656761	60487	86.5	27646	18289	12805	1750	220	1	1
13617950301708092586	44965	20.5	13663	1	1	31303	326.5	1	1
11147667316396387749	18853	13	1	1	14282.5	4571.5	1	1	1
14299949014394275035	1	1	1	1	1	1	1	1	1
4100260373832718889	5674	22	244	1	1	5431	1	1	1
4929640297194127520	1	1	1	1	1	1	1	1	1
15675341944326024528	1	1	1	1	1	1	1	1	1
1815958934010913057	3623.5	11.5	1	293.5	202	3130	17.5	1	1
18168120395142781492	1	1	1	1	1	1	1	1	1
10928961643795075623	1	1	1	1	1	1	1	1	1
1883799598773124034	3815.5	19	1	1337.5	1405	1075	1	1	1
1219153788966443125	26183.5	26.5	1	284.5	22408	3493	152.5	1	1
5940074827896620080	4147	7	1	40	106	4003	1	1	1
5134097191651349987	29233	68.5	1	9758.5	15143.5	4333	31	1	1
2354211941407393608	1	1	1	1	1	1	1	1	1
13888192752465677272	2282.5	2.5	1	1	2282.5	1	1	1	1
13705141573456473354	1	1	1	1	1	1	1	1	1
83276891720283157	775093	296.5	8356	728.5	360349	405662	9907	1	1
13586045911357251293	25001.5	10	1	4763.5	20239	1	37	1	1
3891446612497563884	1	1	1	1	1	1	1	1	1
17704202433362001568	1	1	1	1	1	1	1	1	1
2923200095919507004	1	1	1	1	1	1	1	1	1
8934942888968541646	128230	163	6790	54452.5	41060.5	25930	1	1	1
18425408692303102996	1	1	1	1	1	1	1	1	1
12271862291418489583	1	1	1	1	1	1	1	1	1
5656862043570273091	1	1	1	1	1	1	1	1	1
18421922337025727373	15824.5	17.5	1	2311	6209.5	7306	26.5	1	1
2654139698511244677	10768	37	707.5	1129	418	8516.5	20.5	1	1
17277826921671267463	5198.5	7	1	1	839.5	4360	1	1	1
16144579075729432592	210304	154	135898	62450.5	1829.5	10129	5012.5	1	1
8618010579218196450	1	1	1	1	1	1	1	1	1
18333672219429620638	1	1	1	1	1	1	1	1	1
233072186748458357	1	1	1	1	1	1	1	1	1
12965097991967808798	1789	2.5	1	1	1	1789	1	1	1
5342690016996166449	3862	7	1	1	3553	310	44.5	1	1
5814301070803360502	260743	107.5	53620	620.5	94147	112358	1715.5	1	1
2097866178907996806	1	1	1	1	1	1	1	1	1
4578273089075373763	35552.5	10	1	18566.5	16987	1	2.5	1	1
5233410663637937546	1	1	1	1	1	1	1	1	1
3538899941403830282	204265	127	17866	90076	35665	60661	980.5	1	1
2680413382303866642	1	1	1	1	1	1	1	1	1
3375654150213265054	50045.5	55	1	1	10381	39665.5	1	1	1
9285570871037349301	80.5	2.5	1	1	1	80.5	1	1	1
16106813301457898743	1	1	1	1	1	1	1	1	1
15293922687172029480	163	4	1	1	94	70	2.5	1	1
3495933749750335668	1	1	1	1	1	1	1	1	1
14374866620639977734	1	1	1	1	1	1	1	1	1
17738613666220208577	1	1	1	1	1	1	1	1	1
7361144144910248682	1	1	1	1	1	1	1	1	1
13494264389080178434	1	1	1	1	1	1	1	1	1
4576596668063399220	1	1	1	1	1	1	1	1	1
8463609906387459251	1	1	1	1	1	1	1	1	1
12326269632255086268	1	1	1	1	1	1	1	1	1
10823104462398856413	7046.5	8.5	215.5	1	6832	1	1	1	1
5897894748402473842	548.5	14.5	1	1	128.5	421	4	1	1
150285672546997312	58682.5	13	10768	29020	1	18896.5	2932	1	1
5891047514358316311	347854	67	1	151975	186097	9784	2401	1	1
13618921946743990105	12118	5.5	12118	1	1	1	1	1	1
9401335730551757851	1	1	1	1	1	1	1	1	1
14244336264333680743	1	1	1	1	1	1	1	1	1
12290069260867014550	113.5	2.5	1	1	1	113.5	1	1	1
12870352867292925423	1	1	1	1	1	1	1	1	1
2022505833476504080	61343.5	55	1	12817	33497.5	15031	221.5	1	1
8553373226469760172	9218.5	13	2839	1	331	6050.5	38.5	1	1
11581210792138330654	1	1	1	1	1	1	1	1	1
7851185474501606605	1	1	1	1	1	1	1	1	1
4751372159467182824	1	1	1	1	1	1	1	1	1
6959782234812003870	1	1	1	1	1	1	1	1	1
6734988700605238033	1391.5	2.5	1	1	1391.5	1	1	1	1
13905355182888730827	63782.5	11.5	40340.5	22204	1	1240	442	1	1
13227257182489266343	611.5	2.5	611.5	1	1	1	1	1	1
12366533523041121752	22196.5	31	1	808	12778	8612.5	1	1	1
8022225190884042881	1	1	1	1	1	1	1	1	1
10587666388693732526	1	1	1	1	1	1	1	1	1
16288375005176355827	1	1	1	1	1	1	1	1	1
13358661602475689587	1	1	1	1	1	1	1	1	1
8015568746647539498	1	1	1	1	1	1	1	1	1
7048267776249704630	88312	61	1	37394.5	40732	10187.5	2582.5	1	1
8837686683321720431	1	1	1	1	1	1	1	1	1
16003259356061586254	3352	7	14.5	2426.5	913	1	22	1	1
12209436359541249774	83.5	2.5	1	1	1	83.5	1	1	1
9122500254470769089	234712	218.5	26170	59144.5	24049	125352	2296	1	1
132953730404608498	13178.5	29.5	1937.5	1625.5	395.5	9223	1	1	1
7856596957651274522	11443	19	1004.5	7966	2417.5	58	1	1	1
3077897629743417866	20900.5	32.5	1	3329.5	11180.5	6392.5	334	1	1
6572090692504219443	1	1	1	1	1	1	1	1	1
15923498487751962641	1	1	1	1	1	1	1	1	1
3741555277636848280	1	1	1	1	1	1	1	1	1
17732838383818515475	11015.5	14.5	1943.5	1	869.5	8204.5	7	1	1
434588107404391945	78328	40	296.5	7703.5	5438.5	64892.5	2546.5	1	1
2791670157827766129	1	1	1	1	1	1	1	1	1
8781555071724391036	4817.5	35.5	1147	10	353.5	3310	55	1	1
7099253530121188450	26950	40	1	1520.5	7097.5	18334	758.5	1	1
14287710384698110918	2096.5	5.5	1	1	40	2057.5	1	1	1
122248497021690232	1	1	1	1	1	1	1	1	1
16018264603223922336	1	1	1	1	1	1	1	1	1
13671739112195881711	1	1	1	1	1	1	1	1	1
6644706245776533727	52183	35.5	22601.5	1	1912	27671.5	554.5	1	1
5602066917799198424	2755	4	1	1	1	2755	82	1	1
8475843633043374344	2495.5	4	1	1	1	2495.5	1	1	1
565612124457416886	23486.5	37	1	10939	10940.5	1609	22	1	1
10907589708563230492	11390.5	23.5	1	3688	7318	386.5	1	1	1
8779258891496230583	1	1	1	1	1	1	1	1	1
8505554478583590326	1	1	1	1	1	1	1	1	1
2573141581451083670	1	1	1	1	1	1	1	1	1
6033556169860796534	1	1	1	1	1	1	1	1	1
11401856092930453287	40513	19	1	3403	36769	343	361	1	1
9484355597528591039	870962	104.5	550747	226122	33907	60190	12007	1	1
2080593741339125709	37280.5	92.5	295	563.5	17899	18526	223	1	1
12805105090275242695	59245	17.5	11959	109	17398	29782	29.5	1	1
1475610508849464419	1	1	1	1	1	1	1	1	1
14439614955767033108	66508	64	1	1	26681.5	39827.5	358	1	1
14203984003119096987	2083	17.5	1	1	1532.5	551.5	1	1	1
11607424824293347292	1	1	1	1	1	1	1	1	1
8171747868706121391	1	1	1	1	1	1	1	1	1
17135006427494354977	1	1	1	1	1	1	1	1	1
10248421127581172992	1	1	1	1	1	1	1	1	1
18061807857375176319	1	1	1	1	1	1	1	1	1
11453102740593174905	10616.5	10	1	1	4054	6563.5	1	1	1
10971778518149995542	21598	28	439	1456	8906.5	10799.5	1	1	1
7954325345602588991	55541.5	74.5	1	11303.5	34822	9418	662.5	1	1
10860923308972585111	134622	184	1	12013	71023	51587.5	293.5	1	1
3180248620106860206	29876.5	25	1	2389	20218	7271.5	106	1	1
16851070708533752341	2044	4	1	1	8.5	2036.5	191.5	1	1
2730570551523322183	19264	20.5	1	4348	3698.5	11219.5	1	1	1
8808607603832311988	114206	43	1	22189	26480.5	65539	757	1	1
902741254730212551	1454.5	10	1	239.5	1087	130	1	1	1
15002171946666461363	1	1	1	1	1	1	1	1	1
14491210884091402427	1	1	1	1	1	1	1	1	1
11673916524054690741	116622	86.5	13799.5	29480.5	41063.5	32281	3463	1	1
15956726271168250188	42163	17.5	7085.5	1	10535.5	24544	152.5	1	1
11681752310779697250	43555	83.5	4775.5	80.5	27772	10930	19	1	1
5598247776097163594	1	1	1	1	1	1	1	1	1
9132644357627186900	33581.5	40	617.5	4610.5	14486.5	13870	1	1	1
5746936987970649226	1631.5	7	1	1	473.5	1159	85	1	1
14777502772589400918	7418.5	10	1618	5801.5	1	1	1	1	1
15960194801892036870	16291	100	781	2768.5	5669.5	7075	163	1	1
1479923744156065261	1	1	1	1	1	1	1	1	1
2535404679621786371	31	4	1	1	25	7	1	1	1
8949129819497265904	626.5	5.5	1	1	133	494.5	1	1	1
9764256191688202370	611726	176.5	242962	367882	1	884.5	12521.5	1	1
12852325067591534197	1	1	1	1	1	1	1	1	1
15441127336015693683	1	1	1	1	1	1	1	1	1
9986387656236668559	1	1	1	1	1	1	1	1	1
4788656931878522574	1	1	1	1	1	1	1	1	1
33716033614179764	1	1	1	1	1	1	1	1	1
13039534065006289110	1825	10	1	1	104.5	1721.5	1	1	1
7585730918593780487	1	1	1	1	1	1	1	1	1
4289847496248761943	1142.5	8.5	1	1	1142.5	1	1	1	1
16269026987098214426	2272	7	1	32.5	23.5	2218	2.5	1	1
12531820897958642993	234355	395.5	24719.5	31495	116594	61549	1202.5	1	1
10663793516005120429	1463.5	8.5	1	187	1234	44.5	2.5	1	1
314355649509652364	1	1	1	1	1	1	1	1	1
18227678123583130146	1	1	1	1	1	1	1	1	1
7289483248762904360	1	1	1	1	1	1	1	1	1
6056660993487603662	2564.5	4	1	1	2564.5	1	1	1	1
17765926534214090435	516960	79	102252	21989.5	83074	309648	9136	1	1
10527203953107115865	6761.5	7	5095	530.5	1138	1	125.5	1	1
6836569208790955821	45868	41.5	1	23162.5	16679.5	6028	1	1	1
11390241800477626736	82381	35.5	2671	59.5	202	79451.5	3274	1	1
10162550181312622724	152752	56.5	1	242.5	14594.5	137917	1250.5	1	1
15287815601628753660	1	1	1	1	1	1	1	1	1
573314609479762775	1	1	1	1	1	1	1	1	1
2059239865913850027	52777	91	1063	1	1535.5	50180.5	757	1	1
16181071636726483489	141072	46	19265.5	1	16090	105718	1618	1	1
12090633040180399330	46328.5	58	9287.5	2519.5	28987	5537.5	1084	1	1
10416901621456634379	3071.5	10	1	1	3071.5	1	1	1	1
3428119268082333873	43858	34	1	5888.5	32351.5	5620	23.5	1	1
10825952688035827308	86.5	7	86.5	1	1	1	1	1	1
17266339415059501970	4843	8.5	56.5	1	157	4631.5	1	1	1
1800299040969638784	1	1	1	1	1	1	1	1	1
11015306218213681225	1	1	1	1	1	1	1	1	1
3572318122302207756	19690	38.5	5773	1	2407	11512	1	1	1
15335361888365385095	2353	7	892	1	1081	382	1	1	1
16089767388187845614	52	2.5	52	1	1	1	1	1	1
15272522116785612254	6731.5	25	4684	382	772	896.5	4	1	1
8154817294421900957	1	1	1	1	1	1	1	1	1
16898268123118843162	51740.5	52	494.5	1364.5	13739.5	36145	362.5	1	1
12368211680561829913	1	1	1	1	1	1	1	1	1
8681919734134114110	1	1	1	1	1	1	1	1	1
2956597463680727851	1	1	1	1	1	1	1	1	1
10054971186492183595	1	1	1	1	1	1	1	1	1
7978672816946047408	1	1	1	1	1	1	1	1	1
16959775568043628101	27476.5	29.5	1	13	4369	23096.5	470.5	1	1
15278156280496977170	1	1	1	1	1	1	1	1	1
17843885533636952302	174572	73	28951	65086	76460.5	4078	1856.5	1	1
3005398012469455031	1	1	1	1	1	1	1	1	1
17760826124187986254	1	1	1	1	1	1	1	1	1
14881245450835824363	1	1	1	1	1	1	1	1	1
15172246740791222486	1	1	1	1	1	1	1	1	1
8305938733874626963	1	1	1	1	1	1	1	1	1
8473189543059213531	15451	20.5	1886.5	614.5	1	12952	1	1	1
13360831983573074729	742	5.5	1	1	1	742	1	1	1
11930131468669521134	46	4	1	1	1	46	1	1	1
4934343112539637252	85414	119.5	11323	35608	22868.5	15617.5	556	1	1
7503221875326996374	17963.5	8.5	1	1	12002.5	5962	1	1	1
3319330779137555851	1045	7	1	107.5	1	938.5	1	1	1
10199560034352811517	340932	356.5	92195.5	9809.5	35248	203682	6398.5	1	1
14287212683079041719	1	1	1	1	1	1	1	1	1
14779998343670888942	1	1	1	1	1	1	1	1	1
4636027265589438985	1	1	1	1	1	1	1	1	1
11611553016626638180	1	1	1	1	1	1	1	1	1
510598056411774752	110516	14.5	49895.5	1	19426	41197	1462	1	1
17958468526028838110	1	1	1	1	1	1	1	1	1
4046506572034428038	14063.5	34	1159	8365	106	4436.5	1	1	1
5111266549945391997	1	1	1	1	1	1	1	1	1
1333924740623796122	1	1	1	1	1	1	1	1	1
349692662297956535	1	1	1	1	1	1	1	1	1
5742979206990502621	1	1	1	1	1	1	1	1	1
7544290973015771269	1	1	1	1	1	1	1	1	1
4214078024685886073	17918.5	16	250	1	44.5	17626	1073.5	1	1
3398607601194004738	1	1	1	1	1	1	1	1	1
8343574707157396595	1	1	1	1	1	1	1	1	1
6157765239078660451	19874.5	19	1	1	11281	8594.5	10	1	1
14357411264471945746	2008	8.5	1	1	104.5	1904.5	1	1	1
4223746968429587364	69508	47.5	1	5978.5	17479	46052.5	2930.5	1	1
1473857825429225264	12871	14.5	1	1639	1325.5	9908.5	1	1	1
7395235987421242102	32255.5	50.5	9530.5	1	9818.5	12908.5	118	1	1
1112411957366242586	3335.5	16	1	26.5	242.5	3068.5	1	1	1
14418209299608682232	1	1	1	1	1	1	1	1	1
13271444482061412287	5179	5.5	1	1	2615.5	2564.5	5.5	1	1
1580438784601731997	1	1	1	1	1	1	1	1	1
7023165338676865600	1	1	1	1	1	1	1	1	1
12467325729613785028	1	1	1	1	1	1	1	1	1
1645299668583579294	1	1	1	1	1	1	1	1	1
1290955744385167343	1	1	1	1	1	1	1	1	1
4321217106102251156	1	1	1	1	1	1	1	1	1
8343736146640960369	887.5	14.5	17.5	1	34	838	1	1	1
11327474494717416897	99862	47.5	1	16856.5	35767	47240.5	3862	1	1
4754133938737619628	8954.5	19	397	740.5	13	7807	1	1	1
5083955451763906287	1	1	1	1	1	1	1	1	1
1276267600682594093	1	1	1	1	1	1	1	1	1
13120519011144400664	1	1	1	1	1	1	1	1	1
6967378460270857924	7517.5	5.5	1	68.5	2815	4636	1	1	1
3247746943451267085	8723.5	4	1	1	1	8723.5	1	1	1
6325610343765608689	370	5.5	196	1	1	175	1	1	1
14019976100868241162	103963	38.5	21850	43354	5030.5	33731.5	383.5	1	1
17874941675494170190	24971.5	41.5	1	3433	14179	7361.5	19	1	1
10034996430000891635	329076	160	17212	3733	42271	265862	9427	1	1
16054134918668027087	1	1	1	1	1	1	1	1	1
14355426911608729677	1	1	1	1	1	1	1	1	1
10103454034345637571	1	1	1	1	1	1	1	1	1
6800108156335591004	347.5	2.5	1	1	347.5	1	1	1	1
14852453919043927924	6178	11.5	1	1	2743	3436	32.5	1	1
15599476006840411151	11824	29.5	1	3763	1631.5	6431.5	35.5	1	1
14458065534560694649	30808	68.5	58	1	14452	16300	409	1	1
4754558040264377627	31565.5	25	1	15553	8027.5	7987	791.5	1	1
17407847013147678192	19931.5	22	469	535	3590.5	15340	13	1	1
12053026343180170239	222523	104.5	13379.5	11300.5	64217.5	133628	4787.5	1	1
10763369097904366949	1	1	1	1	1	1	1	1	1
16442430752039501222	1	1	1	1	1	1	1	1	1
4151280667678146036	1	1	1	1	1	1	1	1	1
16120424902760178933	1	1	1	1	1	1	1	1	1
13006205884947912032	1	1	1	1	1	1	1	1	1
4943564351278320669	64970.5	146.5	205	9350.5	35512	19906	379	1	1
16115501500472837121	17672.5	68.5	1	3034	12578.5	2062	184	1	1
11028606301192213241	1	1	1	1	1	1	1	1	1
221792613060392817	1	1	1	1	1	1	1	1	1
3860285063385156214	139	2.5	1	1	139	1	1	1	1
5437779333643993753	11297.5	5.5	10450	1	848.5	1	1	1	1
11551029818322339	4861	2.5	1	1	1	4861	1	1	1
3972548712003303212	4517.5	14.5	2498.5	1024	1	997	11.5	1	1
7965806961972763431	5231.5	14.5	1	1	68.5	5164	71.5	1	1
2679540275360667692	1	1	1	1	1	1	1	1	1
5125074893220279139	1	1	1	1	1	1	1	1	1
4773668456236693810	1	1	1	1	1	1	1	1	1
17097070801391663245	1	1	1	1	1	1	1	1	1
15799354801796732166	1	1	1	1	1	1	1	1	1
5821478265076327442	1207	2.5	1	1	1	1207	95.5	1	1
8132156510440784841	291782	46	35890	749.5	109890	145256	12754	1	1
4476939836233431172	30757	49	284.5	1544.5	15286	13645	35.5	1	1
8061191994763537288	172447	155.5	26993.5	23072.5	34954	87430	523	1	1
12825133199101125846	1	1	1	1	1	1	1	1	1
6150400267123036930	5578	20.5	415	4553.5	448	164.5	4	1	1
555524112543688045	66310	53.5	32720.5	1	3460	30131.5	737.5	1	1
17871714009997774028	122946	77.5	1	30503.5	30230.5	62213.5	259	1	1
6313049301809240484	9406	11.5	1	8833	574	1	14.5	1	1
13368257930328191998	99256	134.5	832	31096	55043.5	12287.5	3271	1	1
18141006902456355595	1	1	1	1	1	1	1	1	1
3917820179165129380	1	1	1	1	1	1	1	1	1
18336454481187010817	1	1	1	1	1	1	1	1	1
2621211802555694986	1	1	1	1	1	1	1	1	1
5205341409321972072	1	1	1	1	1	1	1	1	1
1493468658917599969	82	4	1	1	82	1	1	1	1
7823401111463108517	1	1	1	1	1	1	1	1	1
16776773089277839011	1	1	1	1	1	1	1	1	1
16213836623508677996	26081.5	17.5	19111	1	1	6971.5	44.5	1	1
2876261940698526205	92555.5	55	3140.5	28324	40969	20125	2449	1	1
8705354528228983783	1	1	1	1	1	1	1	1	1
17373811320467525873	673	2.5	673	1	1	1	1	1	1
5730222993084327011	1	1	1	1	1	1	1	1	1
9296074938653802802	1	1	1	1	1	1	1	1	1
14227722352783720906	1	1	1	1	1	1	1	1	1
4716853620896647992	1	1	1	1	1	1	1	1	1
12109259804073661116	1	1	1	1	1	1	1	1	1
13254221746231287900	12134.5	7	1	1	1861	10274.5	193	1	1
4054306964256641066	13046.5	26.5	2444.5	6743.5	2362	1499.5	221.5	1	1
14789413900266741858	7541.5	19	1	1789	2738.5	3016	1	1	1
10049451618201862083	24269.5	8.5	6212.5	1	1	18058	1133.5	1	1
13252197932211120368	13864	10	1	1	13864	1	31	1	1
5408707260117440753	2338	10	1	1	1426	913	5.5	1	1
11103253980562538426	1	1	1	1	1	1	1	1	1
7191333932582147462	1	1	1	1	1	1	1	1	1
5632003942233787986	1	1	1	1	1	1	1	1	1
629268792360139250	1	1	1	1	1	1	1	1	1
904980975966709165	18526	7	457	9275.5	772	8024.5	829	1	1
4954255190256534712	1	1	1	1	1	1	1	1	1
9880138710928151910	25147	50.5	2098	6715	9328	7009	124	1	1
16601811647758820306	52505.5	82	1	9136	22817.5	20554	322	1	1
1778656798390704455	71203	34	15952	1	14035	41218	1588	1	1
11350110788897105712	388886	169	20498.5	49910.5	1529.5	316951	4667.5	1	1
10356066609214935014	460	5.5	1	1	1	460	1	1	1
14414951271554765674	13796.5	31	1	322	11483.5	1993	5.5	1	1
6799856546092005024	48425.5	62.5	23078.5	1	5590	19759	58	1	1
16916638793634306417	1	1	1	1	1	1	1	1	1
13543688036292590535	1733.5	11.5	1	1	611.5	1123	1	1	1
7556778053913885061	353791	56.5	1	6164.5	120922	226706	4714	1	1
5993199646251008625	139	2.5	1	1	139	1	1	1	1
18272084131826282706	1	1	1	1	1	1	1	1	1
2046166181163889613	1	1	1	1	1	1	1	1	1
3966130546271427377	1	1	1	1	1	1	1	1	1
4408029567729081379	100831	40	32636.5	1	15172	53024.5	5044	1	1
910731055061718392	2494	11.5	1102	1	1234	160	1	1	1
15163516495216833359	224.5	4	1	1	224.5	1	1	1	1
122724322348596047	128412	65.5	1	2387.5	2573.5	123452	745	1	1
18145992323074130630	53527	52	1	1036	32323	20170	40	1	1
12033253465928835430	1	1	1	1	1	1	1	1	1
15282835912574161583	1	1	1	1	1	1	1	1	1
2912395007609170358	1	1	1	1	1	1	1	1	1
15846311532307974945	2923	2.5	2678.5	1	1	245.5	1	1	1
9162161900928699575	37165	43	4016.5	7654	14738.5	10759	983.5	1	1
7473991428831850340	6611.5	17.5	580	1	1409.5	4624	10	1	1
11533249439298482947	5593	14.5	4030	1	371.5	1193.5	13	1	1
9414299726225806509	2032	5.5	1	1	1	2032	4	1	1
4862919415890873448	1	1	1	1	1	1	1	1	1
44967163492123527	1	1	1	1	1	1	1	1	1
1292613080601633621	1	1	1	1	1	1	1	1	1
7561396621406844478	1	1	1	1	1	1	1	1	1
7335669551484219347	296234	178	16382.5	8453.5	70651	200750	3205	1	1
8711781727433767104	89467	919	1	31027	45604	12838	32.5	1	1
9194944679699780995	1	1	1	1	1	1	1	1	1
101222562659862273	98192.5	43	21262	4865.5	10850.5	61217.5	5698	1	1
16481627633242634119	1	1	1	1	1	1	1	1	1
9670144786373603539	1	1	1	1	1	1	1	1	1
5683754870363543370	24670	35.5	6868	1	4468	13336	1	1	1
10801900021540525052	1	1	1	1	1	1	1	1	1
939300232676571215	224300	206.5	10336	15019	62791	136158	1982.5	1	1
